algorithm_no,algorithm,family,notion_legacy_implementation_status,notion_architecture_status,notion_legacy_existing_files,notion_scientific_validation,src000_movefuel2_status,src001_movefule1_status,src001_present_paths,src001_missing_paths,src002_older_zip_status,src003_additional_status,src004_g_latest_status,final_disposition,canonical_path,notes
11,Meal-Level Target Distribution Algorithm,Profile + Targets,Planned only,Planned,No dedicated meal-level target distribution algorithm evidenced in inspected target/diet code.,Needs validation,NO_DEDICATED_DOMAIN_IMPLEMENTATION_EVIDENCED,NO_LEGACY_PATH_HINT,,,WAITING_ZIP,OPTIONAL_WAITING,WAITING_ZIP,UNDECIDED,,SRC-001 status is structural path evidence only; semantic correctness is not yet judged.
12,Target Recalibration Algorithm,Profile + Targets,Implemented,Planned,services/backend/src/foundation/target-engine.ts; services/backend/src/foundation/profile.ts,Partially validated,NO_DEDICATED_DOMAIN_IMPLEMENTATION_EVIDENCED,LEGACY_PATHS_PRESENT,services/backend/src/foundation/target-engine.ts; services/backend/src/foundation/profile.ts,,WAITING_ZIP,OPTIONAL_WAITING,WAITING_ZIP,UNDECIDED,,SRC-001 status is structural path evidence only; semantic correctness is not yet judged.
13,Target Evidence Sufficiency / HOLD Algorithm,Profile + Targets,Implemented,Planned,services/backend/src/foundation/target-eligibility-policy.ts; services/backend/src/foundation/target-engine.ts,Not applicable,NO_DEDICATED_DOMAIN_IMPLEMENTATION_EVIDENCED,LEGACY_PATHS_PRESENT,services/backend/src/foundation/target-eligibility-policy.ts; services/backend/src/foundation/target-engine.ts,,WAITING_ZIP,OPTIONAL_WAITING,WAITING_ZIP,UNDECIDED,,SRC-001 status is structural path evidence only; semantic correctness is not yet judged.
14,Target Revision Reason Generator,Profile + Targets,Partial,Planned,services/backend/src/foundation/target-eligibility-policy.ts; services/backend/src/foundation/target-engine.ts; services/backend/src/foundation/profile.ts,Not applicable,NO_DEDICATED_DOMAIN_IMPLEMENTATION_EVIDENCED,LEGACY_PATHS_PRESENT,services/backend/src/foundation/target-eligibility-policy.ts; services/backend/src/foundation/target-engine.ts; services/backend/src/foundation/profile.ts,,WAITING_ZIP,OPTIONAL_WAITING,WAITING_ZIP,UNDECIDED,,SRC-001 status is structural path evidence only; semantic correctness is not yet judged.
15,Camera Input Router,PortionWise,Partial,Planned,services/backend/src/nutrition/vision/configuredVisionRouter.ts; services/backend/src/nutrition/algorithm/imageEstimatePipeline.ts; meal camera/image routes,Not applicable,NO_DEDICATED_DOMAIN_IMPLEMENTATION_EVIDENCED,LEGACY_PATHS_PRESENT,services/backend/src/nutrition/vision/configuredVisionRouter.ts; services/backend/src/nutrition/algorithm/imageEstimatePipeline.ts,,WAITING_ZIP,OPTIONAL_WAITING,WAITING_ZIP,UNDECIDED,,SRC-001 status is structural path evidence only; semantic correctness is not yet judged.
16,Image Quality Scorer,PortionWise,Implemented,Planned,services/backend/src/nutrition/vision/qualityAssessment.ts; services/backend/src/nutrition/vision/openCvPixelQualityAssessor.ts; services/backend/src/nutrition/algorithm/imageEstimatePipeline.ts,Needs validation,NO_DEDICATED_DOMAIN_IMPLEMENTATION_EVIDENCED,LEGACY_PATHS_PRESENT,services/backend/src/nutrition/vision/qualityAssessment.ts; services/backend/src/nutrition/vision/openCvPixelQualityAssessor.ts; services/backend/src/nutrition/algorithm/imageEstimatePipeline.ts,,WAITING_ZIP,OPTIONAL_WAITING,WAITING_ZIP,UNDECIDED,,SRC-001 status is structural path evidence only; semantic correctness is not yet judged.
17,Food Region Detector,PortionWise,Implemented,Planned,services/backend/src/nutrition/vision/segmentationAdapter.ts; services/backend/src/nutrition/algorithm/imageEstimatePipeline.ts,Needs validation,NO_DEDICATED_DOMAIN_IMPLEMENTATION_EVIDENCED,LEGACY_PATHS_PRESENT,services/backend/src/nutrition/vision/segmentationAdapter.ts; services/backend/src/nutrition/algorithm/imageEstimatePipeline.ts,,WAITING_ZIP,OPTIONAL_WAITING,WAITING_ZIP,UNDECIDED,,SRC-001 status is structural path evidence only; semantic correctness is not yet judged.
18,Food Segmentation Algorithm,PortionWise,Implemented,Planned,services/backend/src/nutrition/vision/segmentationAdapter.ts; services/backend/src/nutrition/algorithm/imageEstimatePipeline.ts,Needs validation,NO_DEDICATED_DOMAIN_IMPLEMENTATION_EVIDENCED,LEGACY_PATHS_PRESENT,services/backend/src/nutrition/vision/segmentationAdapter.ts; services/backend/src/nutrition/algorithm/imageEstimatePipeline.ts,,WAITING_ZIP,OPTIONAL_WAITING,WAITING_ZIP,UNDECIDED,,SRC-001 status is structural path evidence only; semantic correctness is not yet judged.
19,Food Candidate Generator,PortionWise,Implemented,Planned,services/backend/src/nutrition/vision/candidateProviderAdapter.ts; services/backend/src/nutrition/vision/candidateGraph.ts; services/backend/src/nutrition/algorithm/imageEstimatePipeline.ts,Needs validation,NO_DEDICATED_DOMAIN_IMPLEMENTATION_EVIDENCED,LEGACY_PATHS_PRESENT,services/backend/src/nutrition/vision/candidateProviderAdapter.ts; services/backend/src/nutrition/vision/candidateGraph.ts; services/backend/src/nutrition/algorithm/imageEstimatePipeline.ts,,WAITING_ZIP,OPTIONAL_WAITING,WAITING_ZIP,UNDECIDED,,SRC-001 status is structural path evidence only; semantic correctness is not yet judged.
20,Preparation-State Inference Algorithm,PortionWise,Implemented,Planned,services/backend/src/nutrition/vision/candidateProviderAdapter.ts; services/backend/src/nutrition/identity/foodResolver.ts; services/backend/src/nutrition/algorithm/imageEstimatePipeline.ts,Needs validation,NO_DEDICATED_DOMAIN_IMPLEMENTATION_EVIDENCED,LEGACY_PATHS_PRESENT,services/backend/src/nutrition/vision/candidateProviderAdapter.ts; services/backend/src/nutrition/identity/foodResolver.ts; services/backend/src/nutrition/algorithm/imageEstimatePipeline.ts,,WAITING_ZIP,OPTIONAL_WAITING,WAITING_ZIP,UNDECIDED,,SRC-001 status is structural path evidence only; semantic correctness is not yet judged.
21,Food Identity Resolver,PortionWise,Implemented,Planned,services/backend/src/nutrition/identity/foodResolver.ts; services/backend/src/nutrition/identity/regionalIdentity.ts; services/backend/src/nutrition/algorithm/imageEstimatePipeline.ts,Needs validation,NO_DEDICATED_DOMAIN_IMPLEMENTATION_EVIDENCED,LEGACY_PATHS_PRESENT,services/backend/src/nutrition/identity/foodResolver.ts; services/backend/src/nutrition/identity/regionalIdentity.ts; services/backend/src/nutrition/algorithm/imageEstimatePipeline.ts,,WAITING_ZIP,OPTIONAL_WAITING,WAITING_ZIP,UNDECIDED,,SRC-001 status is structural path evidence only; semantic correctness is not yet judged.
22,Trusted Food-Source Resolver,PortionWise,Implemented,Planned,services/backend/src/nutrition/identity/foodResolver.ts; services/backend/src/nutrition/identity/knowledgeNutritionResolver.ts; services/backend/src/nutrition/identity/reviewedRecipeCalculator.ts; services/backend/src/nutrition/identity/knowledgeSnapshot.ts,Needs validation,NO_DEDICATED_DOMAIN_IMPLEMENTATION_EVIDENCED,LEGACY_PATHS_PRESENT,services/backend/src/nutrition/identity/foodResolver.ts; services/backend/src/nutrition/identity/knowledgeNutritionResolver.ts; services/backend/src/nutrition/identity/reviewedRecipeCalculator.ts; services/backend/src/nutrition/identity/knowledgeSnapshot.ts,,WAITING_ZIP,OPTIONAL_WAITING,WAITING_ZIP,UNDECIDED,,SRC-001 status is structural path evidence only; semantic correctness is not yet judged.
23,Physical Portion Evidence Extractor,PortionWise,Implemented,Planned,services/backend/src/nutrition/portion/portionEvidence.ts; services/backend/src/nutrition/portion/physicalEvidenceGraph.ts; services/backend/src/nutrition/algorithm/imageEstimatePipeline.ts,Needs validation,NO_DEDICATED_DOMAIN_IMPLEMENTATION_EVIDENCED,LEGACY_PATHS_PRESENT,services/backend/src/nutrition/portion/portionEvidence.ts; services/backend/src/nutrition/portion/physicalEvidenceGraph.ts; services/backend/src/nutrition/algorithm/imageEstimatePipeline.ts,,WAITING_ZIP,OPTIONAL_WAITING,WAITING_ZIP,UNDECIDED,,SRC-001 status is structural path evidence only; semantic correctness is not yet judged.
24,Food Volume Estimator,PortionWise,Implemented,Planned,services/backend/src/nutrition/portion/volumeReconstruction.ts; services/backend/src/nutrition/portion/depthScaleAdapter.ts; services/backend/src/nutrition/portion/sidecarDepthScaleAdapter.ts; services/backend/src/nutrition/portion/shapeAwareEvidence.ts,Needs validation,NO_DEDICATED_DOMAIN_IMPLEMENTATION_EVIDENCED,LEGACY_PATHS_PRESENT,services/backend/src/nutrition/portion/volumeReconstruction.ts; services/backend/src/nutrition/portion/depthScaleAdapter.ts; services/backend/src/nutrition/portion/sidecarDepthScaleAdapter.ts; services/backend/src/nutrition/portion/shapeAwareEvidence.ts,,WAITING_ZIP,OPTIONAL_WAITING,WAITING_ZIP,UNDECIDED,,SRC-001 status is structural path evidence only; semantic correctness is not yet judged.
25,Piece / Count Estimator,PortionWise,Partial,Planned,services/backend/src/nutrition/portion/portionEstimator.ts; services/backend/src/nutrition/confidence/clarification.ts,Needs validation,NO_DEDICATED_DOMAIN_IMPLEMENTATION_EVIDENCED,LEGACY_PATHS_PRESENT,services/backend/src/nutrition/portion/portionEstimator.ts; services/backend/src/nutrition/confidence/clarification.ts,,WAITING_ZIP,OPTIONAL_WAITING,WAITING_ZIP,UNDECIDED,,SRC-001 status is structural path evidence only; semantic correctness is not yet judged.
26,Density Selector,PortionWise,Implemented,Planned,services/backend/src/nutrition/portion/densityLibrary.ts; services/backend/src/nutrition/portion/portionEstimator.ts; services/backend/src/nutrition/algorithm/imageEstimatePipeline.ts,Needs validation,NO_DEDICATED_DOMAIN_IMPLEMENTATION_EVIDENCED,LEGACY_PATHS_PRESENT,services/backend/src/nutrition/portion/densityLibrary.ts; services/backend/src/nutrition/portion/portionEstimator.ts; services/backend/src/nutrition/algorithm/imageEstimatePipeline.ts,,WAITING_ZIP,OPTIONAL_WAITING,WAITING_ZIP,UNDECIDED,,SRC-001 status is structural path evidence only; semantic correctness is not yet judged.
27,Mass-Range Estimator,PortionWise,Implemented,Planned,services/backend/src/nutrition/portion/portionEstimator.ts; services/backend/src/nutrition/portion/physicalEvidenceGraph.ts,Needs validation,NO_DEDICATED_DOMAIN_IMPLEMENTATION_EVIDENCED,LEGACY_PATHS_PRESENT,services/backend/src/nutrition/portion/portionEstimator.ts; services/backend/src/nutrition/portion/physicalEvidenceGraph.ts,,WAITING_ZIP,OPTIONAL_WAITING,WAITING_ZIP,UNDECIDED,,SRC-001 status is structural path evidence only; semantic correctness is not yet judged.
28,Trusted Nutrient Calculator,PortionWise,Implemented,Planned,services/backend/src/nutrition/nutrients/nutrientCalculator.ts; services/backend/src/nutrition/algorithm/nutrientProjection.ts; services/backend/src/nutrition/algorithm/imageEstimatePipeline.ts,Needs validation,NO_DEDICATED_DOMAIN_IMPLEMENTATION_EVIDENCED,LEGACY_PATHS_PRESENT,services/backend/src/nutrition/nutrients/nutrientCalculator.ts; services/backend/src/nutrition/algorithm/nutrientProjection.ts; services/backend/src/nutrition/algorithm/imageEstimatePipeline.ts,,WAITING_ZIP,OPTIONAL_WAITING,WAITING_ZIP,UNDECIDED,,SRC-001 status is structural path evidence only; semantic correctness is not yet judged.
29,Uncertainty Propagation Algorithm,PortionWise,Implemented,Planned,services/backend/src/nutrition/algorithm/imageEstimatePipeline.ts; services/backend/src/nutrition/algorithm/nutrientProjection.ts; services/backend/src/nutrition/portion/portionEstimator.ts; services/backend/src/nutrition/confidence/confidence.ts,Needs validation,NO_DEDICATED_DOMAIN_IMPLEMENTATION_EVIDENCED,LEGACY_PATHS_PRESENT,services/backend/src/nutrition/algorithm/imageEstimatePipeline.ts; services/backend/src/nutrition/algorithm/nutrientProjection.ts; services/backend/src/nutrition/portion/portionEstimator.ts; services/backend/src/nutrition/confidence/confidence.ts,,WAITING_ZIP,OPTIONAL_WAITING,WAITING_ZIP,UNDECIDED,,SRC-001 status is structural path evidence only; semantic correctness is not yet judged.
30,Confidence Calibration Algorithm,PortionWise,Implemented,Planned,services/backend/src/nutrition/algorithm/estimateConfidencePolicy.ts; services/backend/src/nutrition/confidence/confidence.ts; services/backend/src/nutrition/confidence/intervalCalibration.ts,Needs validation,NO_DEDICATED_DOMAIN_IMPLEMENTATION_EVIDENCED,LEGACY_PATHS_PRESENT,services/backend/src/nutrition/algorithm/estimateConfidencePolicy.ts; services/backend/src/nutrition/confidence/confidence.ts; services/backend/src/nutrition/confidence/intervalCalibration.ts,,WAITING_ZIP,OPTIONAL_WAITING,WAITING_ZIP,UNDECIDED,,SRC-001 status is structural path evidence only; semantic correctness is not yet judged.
31,Clarification Question Selector,PortionWise,Implemented,Planned,services/backend/src/nutrition/confidence/clarification.ts; services/backend/src/nutrition/algorithm/imageEstimatePipeline.ts,Needs validation,NO_DEDICATED_DOMAIN_IMPLEMENTATION_EVIDENCED,LEGACY_PATHS_PRESENT,services/backend/src/nutrition/confidence/clarification.ts; services/backend/src/nutrition/algorithm/imageEstimatePipeline.ts,,WAITING_ZIP,OPTIONAL_WAITING,WAITING_ZIP,UNDECIDED,,SRC-001 status is structural path evidence only; semantic correctness is not yet judged.
32,User Correction Reconciler,PortionWise,Implemented,Planned,services/backend/src/nutrition/algorithm/imageEstimatePipeline.ts; services/backend/src/meal/store.ts; services/backend/src/meal/confirmed-meal-projection.ts,Not applicable,NO_DEDICATED_DOMAIN_IMPLEMENTATION_EVIDENCED,LEGACY_PATHS_PRESENT,services/backend/src/nutrition/algorithm/imageEstimatePipeline.ts; services/backend/src/meal/store.ts; services/backend/src/meal/confirmed-meal-projection.ts,,WAITING_ZIP,OPTIONAL_WAITING,WAITING_ZIP,UNDECIDED,,SRC-001 status is structural path evidence only; semantic correctness is not yet judged.
33,Meal Draft Revision Algorithm,PortionWise,Implemented,Planned,services/backend/src/meal/store.ts; services/backend/src/meal/contracts.ts,Not applicable,NO_DEDICATED_DOMAIN_IMPLEMENTATION_EVIDENCED,LEGACY_PATHS_PRESENT,services/backend/src/meal/store.ts; services/backend/src/meal/contracts.ts,,WAITING_ZIP,OPTIONAL_WAITING,WAITING_ZIP,UNDECIDED,,SRC-001 status is structural path evidence only; semantic correctness is not yet judged.
34,Canonical Meal Confirmation Algorithm,PortionWise,Implemented,Planned,services/backend/src/meal/store.ts; services/backend/src/meal/confirmed-meals.ts; services/backend/src/meal/confirmed-meal-projection.ts,Not applicable,NO_DEDICATED_DOMAIN_IMPLEMENTATION_EVIDENCED,LEGACY_PATHS_PRESENT,services/backend/src/meal/store.ts; services/backend/src/meal/confirmed-meals.ts; services/backend/src/meal/confirmed-meal-projection.ts,,WAITING_ZIP,OPTIONAL_WAITING,WAITING_ZIP,UNDECIDED,,SRC-001 status is structural path evidence only; semantic correctness is not yet judged.
35,Daily Nutrition Aggregator,PortionWise,Implemented,Planned,services/backend/src/meal/confirmed-meal-projection.ts; services/backend/src/meal/nutrition.ts,Not applicable,NO_DEDICATED_DOMAIN_IMPLEMENTATION_EVIDENCED,LEGACY_PATHS_PRESENT,services/backend/src/meal/confirmed-meal-projection.ts; services/backend/src/meal/nutrition.ts,,WAITING_ZIP,OPTIONAL_WAITING,WAITING_ZIP,UNDECIDED,,SRC-001 status is structural path evidence only; semantic correctness is not yet judged.
36,Confirmed Serving-Prior Learner,PortionWise,Implemented,Planned,services/backend/src/nutrition/personalization/personalServingPrior.ts; services/backend/src/nutrition/personalization/servingPriorStore.ts; services/backend/src/nutrition/portion/portionEstimator.ts,Needs validation,NO_DEDICATED_DOMAIN_IMPLEMENTATION_EVIDENCED,LEGACY_PATHS_PRESENT,services/backend/src/nutrition/personalization/personalServingPrior.ts; services/backend/src/nutrition/personalization/servingPriorStore.ts; services/backend/src/nutrition/portion/portionEstimator.ts,,WAITING_ZIP,OPTIONAL_WAITING,WAITING_ZIP,UNDECIDED,,SRC-001 status is structural path evidence only; semantic correctness is not yet judged.
37,Barcode Normalizer,Barcode + Dietary,Implemented,Planned,services/backend/src/nutrition/packaged/barcode.ts; services/backend/src/nutrition/packaged/openFoodFactsClient.ts,Not applicable,NO_DEDICATED_DOMAIN_IMPLEMENTATION_EVIDENCED,LEGACY_PATHS_PRESENT,services/backend/src/nutrition/packaged/barcode.ts; services/backend/src/nutrition/packaged/openFoodFactsClient.ts,,WAITING_ZIP,OPTIONAL_WAITING,WAITING_ZIP,UNDECIDED,,SRC-001 status is structural path evidence only; semantic correctness is not yet judged.
38,Catalog Product Matcher,Barcode + Dietary,Implemented,Planned,services/backend/src/nutrition/packaged/openFoodFactsClient.ts; services/backend/src/nutrition/packaged/packagedFoodService.ts,Needs validation,NO_DEDICATED_DOMAIN_IMPLEMENTATION_EVIDENCED,LEGACY_PATHS_PRESENT,services/backend/src/nutrition/packaged/openFoodFactsClient.ts; services/backend/src/nutrition/packaged/packagedFoodService.ts,,WAITING_ZIP,OPTIONAL_WAITING,WAITING_ZIP,UNDECIDED,,SRC-001 status is structural path evidence only; semantic correctness is not yet judged.
39,Catalog Freshness / Conflict Resolver,Barcode + Dietary,Partial,Planned,services/backend/src/nutrition/packaged/cachePolicy.ts; services/backend/src/nutrition/packaged/openFoodFactsClient.ts; services/backend/src/nutrition/packaged/packagedFoodService.ts,Not applicable,NO_DEDICATED_DOMAIN_IMPLEMENTATION_EVIDENCED,LEGACY_PATHS_PRESENT,services/backend/src/nutrition/packaged/cachePolicy.ts; services/backend/src/nutrition/packaged/openFoodFactsClient.ts; services/backend/src/nutrition/packaged/packagedFoodService.ts,,WAITING_ZIP,OPTIONAL_WAITING,WAITING_ZIP,UNDECIDED,,SRC-001 status is structural path evidence only; semantic correctness is not yet judged.
40,Serving Quantity Scaler,Barcode + Dietary,Implemented,Planned,services/backend/src/nutrition/packaged/packagedFoodService.ts; services/backend/src/nutrition/portion/portionEstimator.ts,Needs validation,NO_DEDICATED_DOMAIN_IMPLEMENTATION_EVIDENCED,LEGACY_PATHS_PRESENT,services/backend/src/nutrition/packaged/packagedFoodService.ts; services/backend/src/nutrition/portion/portionEstimator.ts,,WAITING_ZIP,OPTIONAL_WAITING,WAITING_ZIP,UNDECIDED,,SRC-001 status is structural path evidence only; semantic correctness is not yet judged.
41,Dietary Compatibility Guard,Barcode + Dietary,Partial,Planned,services/backend/src/diet-intelligence/profile-policy.ts; services/backend/src/diet-intelligence/recommendation-engine.ts; services/backend/src/nutrition/packaged/openFoodFactsClient.ts,Not applicable,NO_DEDICATED_DOMAIN_IMPLEMENTATION_EVIDENCED,LEGACY_PATHS_PRESENT,services/backend/src/diet-intelligence/profile-policy.ts; services/backend/src/diet-intelligence/recommendation-engine.ts; services/backend/src/nutrition/packaged/openFoodFactsClient.ts,,WAITING_ZIP,OPTIONAL_WAITING,WAITING_ZIP,UNDECIDED,,SRC-001 status is structural path evidence only; semantic correctness is not yet judged.
42,Allergy Caution / Escalation Gate,Barcode + Dietary,Partial,Planned,services/backend/src/diet-intelligence/profile-policy.ts; services/backend/src/diet-intelligence/recommendation-engine.ts; services/backend/src/nutrition/packaged/openFoodFactsClient.ts,Not applicable,NO_DEDICATED_DOMAIN_IMPLEMENTATION_EVIDENCED,LEGACY_PATHS_PRESENT,services/backend/src/diet-intelligence/profile-policy.ts; services/backend/src/diet-intelligence/recommendation-engine.ts; services/backend/src/nutrition/packaged/openFoodFactsClient.ts,,WAITING_ZIP,OPTIONAL_WAITING,WAITING_ZIP,UNDECIDED,,SRC-001 status is structural path evidence only; semantic correctness is not yet judged.
43,Barcode Fallback Router,Barcode + Dietary,Implemented,Planned,services/backend/src/nutrition/packaged/fallback.ts; services/backend/src/nutrition/packaged/openFoodFactsClient.ts; services/backend/src/nutrition/packaged/packagedFoodService.ts,Not applicable,NO_DEDICATED_DOMAIN_IMPLEMENTATION_EVIDENCED,LEGACY_PATHS_PRESENT,services/backend/src/nutrition/packaged/fallback.ts; services/backend/src/nutrition/packaged/openFoodFactsClient.ts; services/backend/src/nutrition/packaged/packagedFoodService.ts,,WAITING_ZIP,OPTIONAL_WAITING,WAITING_ZIP,UNDECIDED,,SRC-001 status is structural path evidence only; semantic correctness is not yet judged.
44,Catalog Source Attribution Resolver,Barcode + Dietary,Implemented,Planned,services/backend/src/nutrition/packaged/openFoodFactsClient.ts; services/backend/src/nutrition/packaged/packagedFoodService.ts,Not applicable,NO_DEDICATED_DOMAIN_IMPLEMENTATION_EVIDENCED,LEGACY_PATHS_PRESENT,services/backend/src/nutrition/packaged/openFoodFactsClient.ts; services/backend/src/nutrition/packaged/packagedFoodService.ts,,WAITING_ZIP,OPTIONAL_WAITING,WAITING_ZIP,UNDECIDED,,SRC-001 status is structural path evidence only; semantic correctness is not yet judged.
45,Food Search Ranking Algorithm,Search + Recipe + Meal Planning,Partial,Planned,services/backend/src/meal/nutrition-catalog.ts; services/backend/src/meal/saved-meals.ts; services/backend/src/meal/personal-food.ts,Not applicable,NO_DEDICATED_DOMAIN_IMPLEMENTATION_EVIDENCED,LEGACY_PATHS_PRESENT,services/backend/src/meal/nutrition-catalog.ts; services/backend/src/meal/saved-meals.ts; services/backend/src/meal/personal-food.ts,,WAITING_ZIP,OPTIONAL_WAITING,WAITING_ZIP,UNDECIDED,,SRC-001 status is structural path evidence only; semantic correctness is not yet judged.
46,Recent / Frequent / Favorite Ranker,Search + Recipe + Meal Planning,Partial,Planned,services/backend/src/meal/saved-meals.ts; services/backend/src/meal/personal-food.ts; services/backend/src/nutrition/personalization/servingPriorStore.ts,Not applicable,NO_DEDICATED_DOMAIN_IMPLEMENTATION_EVIDENCED,LEGACY_PATHS_PRESENT,services/backend/src/meal/saved-meals.ts; services/backend/src/meal/personal-food.ts; services/backend/src/nutrition/personalization/servingPriorStore.ts,,WAITING_ZIP,OPTIONAL_WAITING,WAITING_ZIP,UNDECIDED,,SRC-001 status is structural path evidence only; semantic correctness is not yet judged.
47,Default Serving Predictor,Search + Recipe + Meal Planning,Partial,Planned,services/backend/src/nutrition/personalization/personalServingPrior.ts; services/backend/src/nutrition/personalization/servingPriorStore.ts; services/backend/src/nutrition/portion/portionEstimator.ts,Needs validation,NO_DEDICATED_DOMAIN_IMPLEMENTATION_EVIDENCED,LEGACY_PATHS_PRESENT,services/backend/src/nutrition/personalization/personalServingPrior.ts; services/backend/src/nutrition/personalization/servingPriorStore.ts; services/backend/src/nutrition/portion/portionEstimator.ts,,WAITING_ZIP,OPTIONAL_WAITING,WAITING_ZIP,UNDECIDED,,SRC-001 status is structural path evidence only; semantic correctness is not yet judged.
48,Recipe Ingredient Parser,Search + Recipe + Meal Planning,Planned only,Planned,ReviewedRecipeCalculator accepts already-structured ingredients; no free-text/web recipe ingredient parser was evidenced in inspected current branch.,Needs validation,NO_DEDICATED_DOMAIN_IMPLEMENTATION_EVIDENCED,NO_LEGACY_PATH_HINT,,,WAITING_ZIP,OPTIONAL_WAITING,WAITING_ZIP,UNDECIDED,,SRC-001 status is structural path evidence only; semantic correctness is not yet judged.
