id,algorithm,domain,phase,old_status,new_status,import_decision,current_files,entry,tests
21,Food Identity Resolver,PortionWise / food photo,P0,IMPLEMENTED,NO_DEDICATED_DOMAIN_IMPLEMENTATION_EVIDENCED,IMPORT,services/backend/src/nutrition/algorithm/; vision/; identity/; portion/; nutrients/; confidence/; services/backend/src/http/meal-routes.ts,createMoveFuelAlgorithm → ImageEstimatePipeline → meal routes,services/backend/src/tests/nutrition/*; meal/* tests; research validation
22,Trusted Food-Source Resolver,PortionWise / food photo,P0,IMPLEMENTED,NO_DEDICATED_DOMAIN_IMPLEMENTATION_EVIDENCED,IMPORT,services/backend/src/nutrition/algorithm/; vision/; identity/; portion/; nutrients/; confidence/; services/backend/src/http/meal-routes.ts,createMoveFuelAlgorithm → ImageEstimatePipeline → meal routes,services/backend/src/tests/nutrition/*; meal/* tests; research validation
23,Physical Portion Evidence Extractor,PortionWise / food photo,P0,IMPLEMENTED,NO_DEDICATED_DOMAIN_IMPLEMENTATION_EVIDENCED,IMPORT,services/backend/src/nutrition/algorithm/; vision/; identity/; portion/; nutrients/; confidence/; services/backend/src/http/meal-routes.ts,createMoveFuelAlgorithm → ImageEstimatePipeline → meal routes,services/backend/src/tests/nutrition/*; meal/* tests; research validation
24,Food Volume Estimator,PortionWise / food photo,P0,IMPLEMENTED,NO_DEDICATED_DOMAIN_IMPLEMENTATION_EVIDENCED,IMPORT,services/backend/src/nutrition/algorithm/; vision/; identity/; portion/; nutrients/; confidence/; services/backend/src/http/meal-routes.ts,createMoveFuelAlgorithm → ImageEstimatePipeline → meal routes,services/backend/src/tests/nutrition/*; meal/* tests; research validation
25,Piece / Count Estimator,PortionWise / food photo,P0,PARTIAL,NO_DEDICATED_DOMAIN_IMPLEMENTATION_EVIDENCED,IMPORT_AND_CLOSE_GAP,services/backend/src/nutrition/algorithm/; vision/; identity/; portion/; nutrients/; confidence/; services/backend/src/http/meal-routes.ts,createMoveFuelAlgorithm → ImageEstimatePipeline → meal routes,services/backend/src/tests/nutrition/*; meal/* tests; research validation
26,Density Selector,PortionWise / food photo,P0,IMPLEMENTED,NO_DEDICATED_DOMAIN_IMPLEMENTATION_EVIDENCED,IMPORT,services/backend/src/nutrition/algorithm/; vision/; identity/; portion/; nutrients/; confidence/; services/backend/src/http/meal-routes.ts,createMoveFuelAlgorithm → ImageEstimatePipeline → meal routes,services/backend/src/tests/nutrition/*; meal/* tests; research validation
27,Mass-Range Estimator,PortionWise / food photo,P0,IMPLEMENTED,NO_DEDICATED_DOMAIN_IMPLEMENTATION_EVIDENCED,IMPORT,services/backend/src/nutrition/algorithm/; vision/; identity/; portion/; nutrients/; confidence/; services/backend/src/http/meal-routes.ts,createMoveFuelAlgorithm → ImageEstimatePipeline → meal routes,services/backend/src/tests/nutrition/*; meal/* tests; research validation
28,Trusted Nutrient Calculator,PortionWise / food photo,P0,IMPLEMENTED,NO_DEDICATED_DOMAIN_IMPLEMENTATION_EVIDENCED,IMPORT,services/backend/src/nutrition/algorithm/; vision/; identity/; portion/; nutrients/; confidence/; services/backend/src/http/meal-routes.ts,createMoveFuelAlgorithm → ImageEstimatePipeline → meal routes,services/backend/src/tests/nutrition/*; meal/* tests; research validation
29,Uncertainty Propagation Algorithm,PortionWise / food photo,P0,IMPLEMENTED,NO_DEDICATED_DOMAIN_IMPLEMENTATION_EVIDENCED,IMPORT,services/backend/src/nutrition/algorithm/; vision/; identity/; portion/; nutrients/; confidence/; services/backend/src/http/meal-routes.ts,createMoveFuelAlgorithm → ImageEstimatePipeline → meal routes,services/backend/src/tests/nutrition/*; meal/* tests; research validation
30,Confidence Calibration Algorithm,PortionWise / food photo,P0,IMPLEMENTED,NO_DEDICATED_DOMAIN_IMPLEMENTATION_EVIDENCED,IMPORT,services/backend/src/nutrition/algorithm/; vision/; identity/; portion/; nutrients/; confidence/; services/backend/src/http/meal-routes.ts,createMoveFuelAlgorithm → ImageEstimatePipeline → meal routes,services/backend/src/tests/nutrition/*; meal/* tests; research validation
31,Clarification Question Selector,PortionWise / food photo,P0,IMPLEMENTED,NO_DEDICATED_DOMAIN_IMPLEMENTATION_EVIDENCED,IMPORT,services/backend/src/nutrition/algorithm/; vision/; identity/; portion/; nutrients/; confidence/; services/backend/src/http/meal-routes.ts,createMoveFuelAlgorithm → ImageEstimatePipeline → meal routes,services/backend/src/tests/nutrition/*; meal/* tests; research validation
32,User Correction Reconciler,PortionWise / food photo,P0,IMPLEMENTED,NO_DEDICATED_DOMAIN_IMPLEMENTATION_EVIDENCED,IMPORT,services/backend/src/nutrition/algorithm/; vision/; identity/; portion/; nutrients/; confidence/; services/backend/src/http/meal-routes.ts,createMoveFuelAlgorithm → ImageEstimatePipeline → meal routes,services/backend/src/tests/nutrition/*; meal/* tests; research validation
33,Meal Draft Revision Algorithm,PortionWise / food photo,P0,IMPLEMENTED,NO_DEDICATED_DOMAIN_IMPLEMENTATION_EVIDENCED,IMPORT,services/backend/src/nutrition/algorithm/; vision/; identity/; portion/; nutrients/; confidence/; services/backend/src/http/meal-routes.ts,createMoveFuelAlgorithm → ImageEstimatePipeline → meal routes,services/backend/src/tests/nutrition/*; meal/* tests; research validation
34,Canonical Meal Confirmation Algorithm,PortionWise / food photo,P0,IMPLEMENTED,NO_DEDICATED_DOMAIN_IMPLEMENTATION_EVIDENCED,IMPORT,services/backend/src/nutrition/algorithm/; vision/; identity/; portion/; nutrients/; confidence/; services/backend/src/http/meal-routes.ts,createMoveFuelAlgorithm → ImageEstimatePipeline → meal routes,services/backend/src/tests/nutrition/*; meal/* tests; research validation
35,Daily Nutrition Aggregator,PortionWise / food photo,P0,IMPLEMENTED,NO_DEDICATED_DOMAIN_IMPLEMENTATION_EVIDENCED,IMPORT,services/backend/src/nutrition/algorithm/; vision/; identity/; portion/; nutrients/; confidence/; services/backend/src/http/meal-routes.ts,createMoveFuelAlgorithm → ImageEstimatePipeline → meal routes,services/backend/src/tests/nutrition/*; meal/* tests; research validation
36,Confirmed Serving-Prior Learner,PortionWise / food photo,P0,IMPLEMENTED,NO_DEDICATED_DOMAIN_IMPLEMENTATION_EVIDENCED,IMPORT,services/backend/src/nutrition/algorithm/; vision/; identity/; portion/; nutrients/; confidence/; services/backend/src/http/meal-routes.ts,createMoveFuelAlgorithm → ImageEstimatePipeline → meal routes,services/backend/src/tests/nutrition/*; meal/* tests; research validation
37,Barcode Normalizer,Barcode / products,P0,IMPLEMENTED,NO_DEDICATED_DOMAIN_IMPLEMENTATION_EVIDENCED,IMPORT,services/backend/src/meal/nutrition-catalog.ts; services/backend/src/nutrition/packaged/; services/backend/src/http/packaged-routes.ts,packaged food service / nutrition catalog route,services/backend/src/tests/meal/*packaged*; nutrition-catalog.test.ts
38,Catalog Product Matcher,Barcode / products,P0,IMPLEMENTED,NO_DEDICATED_DOMAIN_IMPLEMENTATION_EVIDENCED,IMPORT,services/backend/src/meal/nutrition-catalog.ts; services/backend/src/nutrition/packaged/; services/backend/src/http/packaged-routes.ts,packaged food service / nutrition catalog route,services/backend/src/tests/meal/*packaged*; nutrition-catalog.test.ts
39,Catalog Freshness / Conflict Resolver,Barcode / products,P0,PARTIAL,NO_DEDICATED_DOMAIN_IMPLEMENTATION_EVIDENCED,IMPORT_AND_CLOSE_GAP,services/backend/src/meal/nutrition-catalog.ts; services/backend/src/nutrition/packaged/; services/backend/src/http/packaged-routes.ts,packaged food service / nutrition catalog route,services/backend/src/tests/meal/*packaged*; nutrition-catalog.test.ts
40,Serving Quantity Scaler,Barcode / products,P0,IMPLEMENTED,NO_DEDICATED_DOMAIN_IMPLEMENTATION_EVIDENCED,IMPORT,services/backend/src/meal/nutrition-catalog.ts; services/backend/src/nutrition/packaged/; services/backend/src/http/packaged-routes.ts,packaged food service / nutrition catalog route,services/backend/src/tests/meal/*packaged*; nutrition-catalog.test.ts
41,Dietary Compatibility Guard,Barcode / products,P0,IMPLEMENTED,NO_DEDICATED_DOMAIN_IMPLEMENTATION_EVIDENCED,IMPORT,services/backend/src/meal/nutrition-catalog.ts; services/backend/src/nutrition/packaged/; services/backend/src/http/packaged-routes.ts,packaged food service / nutrition catalog route,services/backend/src/tests/meal/*packaged*; nutrition-catalog.test.ts
42,Allergy Caution / Escalation Gate,Barcode / products,P0,PARTIAL,NO_DEDICATED_DOMAIN_IMPLEMENTATION_EVIDENCED,IMPORT_AND_CLOSE_GAP,services/backend/src/meal/nutrition-catalog.ts; services/backend/src/nutrition/packaged/; services/backend/src/http/packaged-routes.ts,packaged food service / nutrition catalog route,services/backend/src/tests/meal/*packaged*; nutrition-catalog.test.ts
43,Barcode Fallback Router,Barcode / products,P0,IMPLEMENTED,NO_DEDICATED_DOMAIN_IMPLEMENTATION_EVIDENCED,IMPORT,services/backend/src/meal/nutrition-catalog.ts; services/backend/src/nutrition/packaged/; services/backend/src/http/packaged-routes.ts,packaged food service / nutrition catalog route,services/backend/src/tests/meal/*packaged*; nutrition-catalog.test.ts
44,Catalog Source Attribution Resolver,Barcode / products,P0,IMPLEMENTED,NO_DEDICATED_DOMAIN_IMPLEMENTATION_EVIDENCED,IMPORT,services/backend/src/meal/nutrition-catalog.ts; services/backend/src/nutrition/packaged/; services/backend/src/http/packaged-routes.ts,packaged food service / nutrition catalog route,services/backend/src/tests/meal/*packaged*; nutrition-catalog.test.ts
45,Food Search Ranking Algorithm,Food search / recipes,P1,IMPLEMENTED,NO_DEDICATED_DOMAIN_IMPLEMENTATION_EVIDENCED,IMPORT,services/backend/src/meal/; services/backend/src/diet-intelligence/; services/backend/src/nutrition/identity/,"meal store, identity helpers, or diet-plan service",services/backend/src/tests/nutrition/recipe-resolver.test.ts; diet-intelligence/*
46,Recent / Frequent / Favorite Ranker,Food search / recipes,P1,PARTIAL,NO_DEDICATED_DOMAIN_IMPLEMENTATION_EVIDENCED,IMPORT_AND_CLOSE_GAP,services/backend/src/meal/; services/backend/src/diet-intelligence/; services/backend/src/nutrition/identity/,"meal store, identity helpers, or diet-plan service",services/backend/src/tests/nutrition/recipe-resolver.test.ts; diet-intelligence/*
47,Default Serving Predictor,Food search / recipes,P1,NOT_FOUND,NO_DEDICATED_DOMAIN_IMPLEMENTATION_EVIDENCED,MISSING_IMPLEMENT,No reliable source evidence,—,No direct test
48,Recipe Ingredient Parser,Food search / recipes,P1,IMPLEMENTED,NO_DEDICATED_DOMAIN_IMPLEMENTATION_EVIDENCED,IMPORT,services/backend/src/meal/; services/backend/src/diet-intelligence/; services/backend/src/nutrition/identity/,"meal store, identity helpers, or diet-plan service",services/backend/src/tests/nutrition/recipe-resolver.test.ts; diet-intelligence/*
49,Recipe Ingredient Resolver,Food search / recipes,P1,IMPLEMENTED,NO_DEDICATED_DOMAIN_IMPLEMENTATION_EVIDENCED,IMPORT,services/backend/src/meal/; services/backend/src/diet-intelligence/; services/backend/src/nutrition/identity/,"meal store, identity helpers, or diet-plan service",services/backend/src/tests/nutrition/recipe-resolver.test.ts; diet-intelligence/*
50,Recipe Nutrient Calculator,Food search / recipes,P1,IMPLEMENTED,NO_DEDICATED_DOMAIN_IMPLEMENTATION_EVIDENCED,IMPORT,services/backend/src/meal/; services/backend/src/diet-intelligence/; services/backend/src/nutrition/identity/,"meal store, identity helpers, or diet-plan service",services/backend/src/tests/nutrition/recipe-resolver.test.ts; diet-intelligence/*
51,Recipe Serving Scaler,Food search / recipes,P1,IMPLEMENTED,NO_DEDICATED_DOMAIN_IMPLEMENTATION_EVIDENCED,IMPORT,services/backend/src/meal/; services/backend/src/diet-intelligence/; services/backend/src/nutrition/identity/,"meal store, identity helpers, or diet-plan service",services/backend/src/tests/nutrition/recipe-resolver.test.ts; diet-intelligence/*
52,Web / Video Recipe Extraction Resolver,Food search / recipes,P1,NOT_FOUND,NO_DEDICATED_DOMAIN_IMPLEMENTATION_EVIDENCED,MISSING_IMPLEMENT,No reliable source evidence,—,No direct test
53,Meal Plan Generator,Food search / recipes,P1,PARTIAL,NO_DEDICATED_DOMAIN_IMPLEMENTATION_EVIDENCED,IMPORT_AND_CLOSE_GAP,services/backend/src/meal/; services/backend/src/diet-intelligence/; services/backend/src/nutrition/identity/,"meal store, identity helpers, or diet-plan service",services/backend/src/tests/nutrition/recipe-resolver.test.ts; diet-intelligence/*
54,Budget-Aware Meal Planner,Food search / recipes,P1,NOT_FOUND,NO_DEDICATED_DOMAIN_IMPLEMENTATION_EVIDENCED,MISSING_IMPLEMENT,No reliable source evidence,—,No direct test
55,Country / Region / Cuisine Matcher,Food search / recipes,P1,NOT_FOUND,NO_DEDICATED_DOMAIN_IMPLEMENTATION_EVIDENCED,MISSING_IMPLEMENT,No reliable source evidence,—,No direct test
56,Grocery List Aggregator,Food search / recipes,P1,PARTIAL,NO_DEDICATED_DOMAIN_IMPLEMENTATION_EVIDENCED,IMPORT_AND_CLOSE_GAP,services/backend/src/meal/; services/backend/src/diet-intelligence/; services/backend/src/nutrition/identity/,"meal store, identity helpers, or diet-plan service",services/backend/src/tests/nutrition/recipe-resolver.test.ts; diet-intelligence/*
57,Meal Timing Planner,Food search / recipes,P1,NOT_FOUND,NO_DEDICATED_DOMAIN_IMPLEMENTATION_EVIDENCED,MISSING_IMPLEMENT,No reliable source evidence,—,No direct test
58,Adult Fasting Eligibility & Session-State Algorithm,Food search / recipes,P1,NOT_FOUND,NO_DEDICATED_DOMAIN_IMPLEMENTATION_EVIDENCED,MISSING_IMPLEMENT,No reliable source evidence,—,No direct test
59,Training Goal Classifier,Core training,P0,IMPLEMENTED,NO_DEDICATED_DOMAIN_IMPLEMENTATION_EVIDENCED,IMPORT,algorithms/training/src/; services/backend/src/training/,generateTrainingPlan and training-service,services/backend/src/tests/training/*; simulation/progression
60,Sport / Modality Router,Core training,P0,PARTIAL,NO_DEDICATED_DOMAIN_IMPLEMENTATION_EVIDENCED,IMPORT_AND_CLOSE_GAP,algorithms/training/src/; services/backend/src/training/,generateTrainingPlan and training-service,services/backend/src/tests/training/*; simulation/progression
61,Exercise Safety & Eligibility Filter,Core training,P0,IMPLEMENTED,NO_DEDICATED_DOMAIN_IMPLEMENTATION_EVIDENCED,IMPORT,algorithms/training/src/; services/backend/src/training/,generateTrainingPlan and training-service,services/backend/src/tests/training/*; simulation/progression
62,Exercise Selection / Ranking Algorithm,Core training,P0,IMPLEMENTED,NO_DEDICATED_DOMAIN_IMPLEMENTATION_EVIDENCED,IMPORT,algorithms/training/src/; services/backend/src/training/,generateTrainingPlan and training-service,services/backend/src/tests/training/*; simulation/progression
63,Equipment Compatibility Filter,Core training,P0,IMPLEMENTED,NO_DEDICATED_DOMAIN_IMPLEMENTATION_EVIDENCED,IMPORT,algorithms/training/src/; services/backend/src/training/,generateTrainingPlan and training-service,services/backend/src/tests/training/*; simulation/progression
64,Exercise Substitution Algorithm,Core training,P0,IMPLEMENTED,NO_DEDICATED_DOMAIN_IMPLEMENTATION_EVIDENCED,IMPORT,algorithms/training/src/; services/backend/src/training/,generateTrainingPlan and training-service,services/backend/src/tests/training/*; simulation/progression
65,Time-Aware Session Sizer,Core training,P0,IMPLEMENTED,NO_DEDICATED_DOMAIN_IMPLEMENTATION_EVIDENCED,IMPORT,algorithms/training/src/; services/backend/src/training/,generateTrainingPlan and training-service,services/backend/src/tests/training/*; simulation/progression
66,Workout Session Generator,Core training,P0,IMPLEMENTED,NO_DEDICATED_DOMAIN_IMPLEMENTATION_EVIDENCED,IMPORT,algorithms/training/src/; services/backend/src/training/,generateTrainingPlan and training-service,services/backend/src/tests/training/*; simulation/progression
67,Training Program Generator,Core training,P0,IMPLEMENTED,NO_DEDICATED_DOMAIN_IMPLEMENTATION_EVIDENCED,IMPORT,algorithms/training/src/; services/backend/src/training/,generateTrainingPlan and training-service,services/backend/src/tests/training/*; simulation/progression
68,Readiness State Engine,Core training,P0,IMPLEMENTED,NO_DEDICATED_DOMAIN_IMPLEMENTATION_EVIDENCED,IMPORT,algorithms/training/src/; services/backend/src/training/,generateTrainingPlan and training-service,services/backend/src/tests/training/*; simulation/progression
69,Muscle Recovery / Fatigue Estimator,Core training,P0,PARTIAL,NO_DEDICATED_DOMAIN_IMPLEMENTATION_EVIDENCED,IMPORT_AND_CLOSE_GAP,algorithms/training/src/; services/backend/src/training/,generateTrainingPlan and training-service,services/backend/src/tests/training/*; simulation/progression
70,Training Workload Estimator,Core training,P0,PARTIAL,NO_DEDICATED_DOMAIN_IMPLEMENTATION_EVIDENCED,IMPORT_AND_CLOSE_GAP,algorithms/training/src/; services/backend/src/training/,generateTrainingPlan and training-service,services/backend/src/tests/training/*; simulation/progression
71,Progression Decision Engine,Core training,P0,IMPLEMENTED,NO_DEDICATED_DOMAIN_IMPLEMENTATION_EVIDENCED,IMPORT,algorithms/training/src/; services/backend/src/training/,generateTrainingPlan and training-service,services/backend/src/tests/training/*; simulation/progression
72,Load / Rep Recommendation Engine,Core training,P0,PARTIAL,NO_DEDICATED_DOMAIN_IMPLEMENTATION_EVIDENCED,IMPORT_AND_CLOSE_GAP,algorithms/training/src/; services/backend/src/training/,generateTrainingPlan and training-service,services/backend/src/tests/training/*; simulation/progression
73,Deload / Adaptation Engine,Core training,P0,PARTIAL,NO_DEDICATED_DOMAIN_IMPLEMENTATION_EVIDENCED,IMPORT_AND_CLOSE_GAP,algorithms/training/src/; services/backend/src/training/,generateTrainingPlan and training-service,services/backend/src/tests/training/*; simulation/progression
74,Exercise Preference / Exclusion Ranker,Core training,P0,PARTIAL,NO_DEDICATED_DOMAIN_IMPLEMENTATION_EVIDENCED,IMPORT_AND_CLOSE_GAP,algorithms/training/src/; services/backend/src/training/,generateTrainingPlan and training-service,services/backend/src/tests/training/*; simulation/progression
75,Missed Workout Reconciler,Core training,P0,IMPLEMENTED,NO_DEDICATED_DOMAIN_IMPLEMENTATION_EVIDENCED,IMPORT,algorithms/training/src/; services/backend/src/training/,generateTrainingPlan and training-service,services/backend/src/tests/training/*; simulation/progression
76,Workout Performance Reconciler,Core training,P0,IMPLEMENTED,NO_DEDICATED_DOMAIN_IMPLEMENTATION_EVIDENCED,IMPORT,algorithms/training/src/; services/backend/src/training/,generateTrainingPlan and training-service,services/backend/src/tests/training/*; simulation/progression
77,Warm-Up Generator,Core training,P0,NOT_FOUND,NO_DEDICATED_DOMAIN_IMPLEMENTATION_EVIDENCED,MISSING_IMPLEMENT,No reliable source evidence,—,No direct test
78,Cool-Down Generator,Core training,P0,NOT_FOUND,NO_DEDICATED_DOMAIN_IMPLEMENTATION_EVIDENCED,MISSING_IMPLEMENT,No reliable source evidence,—,No direct test
79,Strength Training Planner,Sport-specific,P2,IMPLEMENTED,NO_DEDICATED_DOMAIN_IMPLEMENTATION_EVIDENCED,IMPORT,algorithms/training/src/contracts.ts; program-engine.ts; session-requirement.ts,generic training engine only; no sport-specific dispatcher,services/backend/src/tests/training/*; simulation/progression
80,Hypertrophy / Muscle-Emphasis Planner,Sport-specific,P2,IMPLEMENTED,NO_DEDICATED_DOMAIN_IMPLEMENTATION_EVIDENCED,IMPORT,algorithms/training/src/contracts.ts; program-engine.ts; session-requirement.ts,generic training engine only; no sport-specific dispatcher,services/backend/src/tests/training/*; simulation/progression
81,Running / Endurance Planner,Sport-specific,P2,NOT_FOUND,NO_DEDICATED_DOMAIN_IMPLEMENTATION_EVIDENCED,MISSING_IMPLEMENT,No reliable source evidence,—,No direct test
82,Swimming Planner,Sport-specific,P2,NOT_FOUND,NO_DEDICATED_DOMAIN_IMPLEMENTATION_EVIDENCED,MISSING_IMPLEMENT,No reliable source evidence,—,No direct test
83,Football / Soccer Performance Planner,Sport-specific,P2,NOT_FOUND,NO_DEDICATED_DOMAIN_IMPLEMENTATION_EVIDENCED,MISSING_IMPLEMENT,No reliable source evidence,—,No direct test
