"screen_id","family","title","current_functional_controls","current_status","planned_controls","input_controls","output_controls","sensor_dependencies","permission_gates","data_reads","data_writes","algorithm_ai_dependencies","required_states","planned_click_results","conflicts","priority","implementation_plan"
"AUTH_011","AUTH","Offline Account State","WIRED: Continue -> next registry route; Back -> previous registry route","PARTIAL_PROTOTYPE","Retry | Sign in","","account/session status | recovery/error state","","","account;session","account;session","auth/session restore","default | offline","Retry => retry account/session operation | Sign in => open Sign In","CURRENT: generic Continue/Back wiring is registry-sequential, not product-semantic | CURRENT: internal cards/fields/options are mostly presentation-only until callbacks/state are added","P0","Replace sequential scaffold routing with typed screen actions/ViewModel state; convert visual controls to real Compose inputs/click targets; add repository/use-case calls; add loading/error/offline/idempotency tests."
"AUTH_012","AUTH","Session Expired","WIRED: Continue -> next registry route; Back -> previous registry route","PARTIAL_PROTOTYPE","Resend link","","account/session status | recovery/error state","","","account;session","account;session","auth/session restore","default | error/retry","Resend link => create fresh verification/reset request","CURRENT: generic Continue/Back wiring is registry-sequential, not product-semantic | CURRENT: internal cards/fields/options are mostly presentation-only until callbacks/state are added","P0","Replace sequential scaffold routing with typed screen actions/ViewModel state; convert visual controls to real Compose inputs/click targets; add repository/use-case calls; add loading/error/offline/idempotency tests."
"ONB_001","ONB","Welcome","WIRED: Continue -> next registry route; Back -> previous registry route","PARTIAL_PROTOTYPE","Continue | Back","","onboarding progress | target review","","","profile draft;policy eligibility","profile;preferences;target draft","target calculation;eligibility rules","default","Continue => validate/save current step then open next onboarding step | Back => open prior onboarding step without losing draft","CURRENT: generic Continue/Back wiring is registry-sequential, not product-semantic | CURRENT: internal cards/fields/options are mostly presentation-only until callbacks/state are added","P0","Replace sequential scaffold routing with typed screen actions/ViewModel state; convert visual controls to real Compose inputs/click targets; add repository/use-case calls; add loading/error/offline/idempotency tests."
"ONB_002","ONB","Setup Choice","WIRED: Continue -> next registry route; Back -> previous registry route","PARTIAL_PROTOTYPE","Continue | Back | Finish later","","onboarding progress | target review","","","profile draft;policy eligibility","profile;preferences;target draft","target calculation;eligibility rules","default","Continue => validate/save current step then open next onboarding step | Back => open prior onboarding step without losing draft | Finish later => save deferred personalization then enter Today","CURRENT: generic Continue/Back wiring is registry-sequential, not product-semantic | CURRENT: internal cards/fields/options are mostly presentation-only until callbacks/state are added","P0","Replace sequential scaffold routing with typed screen actions/ViewModel state; convert visual controls to real Compose inputs/click targets; add repository/use-case calls; add loading/error/offline/idempotency tests."
"ONB_003","ONB","Name","WIRED: Continue -> next registry route; Back -> previous registry route","PARTIAL_PROTOTYPE","Continue | Back","name","onboarding progress | target review","","","profile draft;policy eligibility","profile;preferences;target draft","target calculation;eligibility rules","default","Continue => validate/save current step then open next onboarding step | Back => open prior onboarding step without losing draft","CURRENT: generic Continue/Back wiring is registry-sequential, not product-semantic | CURRENT: internal cards/fields/options are mostly presentation-only until callbacks/state are added","P0","Replace sequential scaffold routing with typed screen actions/ViewModel state; convert visual controls to real Compose inputs/click targets; add repository/use-case calls; add loading/error/offline/idempotency tests."
"ONB_004","ONB","Date of Birth","WIRED: Continue -> next registry route; Back -> previous registry route","PARTIAL_PROTOTYPE","Continue | Back","date of birth","onboarding progress | target review","","","profile draft;policy eligibility","profile;preferences;target draft","target calculation;eligibility rules","default","Continue => validate/save current step then open next onboarding step | Back => open prior onboarding step without losing draft","CURRENT: generic Continue/Back wiring is registry-sequential, not product-semantic | CURRENT: internal cards/fields/options are mostly presentation-only until callbacks/state are added","P0","Replace sequential scaffold routing with typed screen actions/ViewModel state; convert visual controls to real Compose inputs/click targets; add repository/use-case calls; add loading/error/offline/idempotency tests."
"ONB_005","ONB","Country Language Timezone","WIRED: Continue -> next registry route; Back -> previous registry route","PARTIAL_PROTOTYPE","Continue | Back","country | language | timezone","onboarding progress | target review","","","profile draft;policy eligibility","profile;preferences;target draft","target calculation;eligibility rules","default","Continue => validate/save current step then open next onboarding step | Back => open prior onboarding step without losing draft","CURRENT: generic Continue/Back wiring is registry-sequential, not product-semantic | CURRENT: internal cards/fields/options are mostly presentation-only until callbacks/state are added","P0","Replace sequential scaffold routing with typed screen actions/ViewModel state; convert visual controls to real Compose inputs/click targets; add repository/use-case calls; add loading/error/offline/idempotency tests."
"ONB_006","ONB","Units","WIRED: Continue -> next registry route; Back -> previous registry route","PARTIAL_PROTOTYPE","Continue | Back","unit system choice","onboarding progress | target review","","","profile draft;policy eligibility","profile;preferences;target draft","target calculation;eligibility rules","default","Continue => validate/save current step then open next onboarding step | Back => open prior onboarding step without losing draft","CURRENT: generic Continue/Back wiring is registry-sequential, not product-semantic | CURRENT: internal cards/fields/options are mostly presentation-only until callbacks/state are added","P0","Replace sequential scaffold routing with typed screen actions/ViewModel state; convert visual controls to real Compose inputs/click targets; add repository/use-case calls; add loading/error/offline/idempotency tests."
"ONB_007","ONB","Height","WIRED: Continue -> next registry route; Back -> previous registry route","PARTIAL_PROTOTYPE","Continue | Back","height","onboarding progress | target review","","","profile draft;policy eligibility","profile;preferences;target draft","target calculation;eligibility rules","default","Continue => validate/save current step then open next onboarding step | Back => open prior onboarding step without losing draft","CURRENT: generic Continue/Back wiring is registry-sequential, not product-semantic | CURRENT: internal cards/fields/options are mostly presentation-only until callbacks/state are added","P0","Replace sequential scaffold routing with typed screen actions/ViewModel state; convert visual controls to real Compose inputs/click targets; add repository/use-case calls; add loading/error/offline/idempotency tests."
"ONB_008","ONB","Current Weight","WIRED: Continue -> next registry route; Back -> previous registry route","PARTIAL_PROTOTYPE","Continue | Back","current weight observation","onboarding progress | target review","","","profile draft;policy eligibility","profile;preferences;target draft","target calculation;eligibility rules","default","Continue => validate/save current step then open next onboarding step | Back => open prior onboarding step without losing draft","CURRENT: generic Continue/Back wiring is registry-sequential, not product-semantic | CURRENT: internal cards/fields/options are mostly presentation-only until callbacks/state are added","P0","Replace sequential scaffold routing with typed screen actions/ViewModel state; convert visual controls to real Compose inputs/click targets; add repository/use-case calls; add loading/error/offline/idempotency tests."
"ONB_009","ONB","Energy Estimation Setting","WIRED: Continue -> next registry route; Back -> previous registry route","PARTIAL_PROTOTYPE","Continue | Back","supported equation input/decline","onboarding progress | target review","","","profile draft;policy eligibility","profile;preferences;target draft","target calculation;eligibility rules","default","Continue => validate/save current step then open next onboarding step | Back => open prior onboarding step without losing draft","CURRENT: generic Continue/Back wiring is registry-sequential, not product-semantic | CURRENT: internal cards/fields/options are mostly presentation-only until callbacks/state are added","P0","Replace sequential scaffold routing with typed screen actions/ViewModel state; convert visual controls to real Compose inputs/click targets; add repository/use-case calls; add loading/error/offline/idempotency tests."
"ONB_010","ONB","Daily Activity","WIRED: Continue -> next registry route; Back -> previous registry route","PARTIAL_PROTOTYPE","Continue | Back","activity level","onboarding progress | target review","","","profile draft;policy eligibility","profile;preferences;target draft","target calculation;eligibility rules","default","Continue => validate/save current step then open next onboarding step | Back => open prior onboarding step without losing draft","CURRENT: generic Continue/Back wiring is registry-sequential, not product-semantic | CURRENT: internal cards/fields/options are mostly presentation-only until callbacks/state are added","P0","Replace sequential scaffold routing with typed screen actions/ViewModel state; convert visual controls to real Compose inputs/click targets; add repository/use-case calls; add loading/error/offline/idempotency tests."
"ONB_011","ONB","Optional Body Composition","WIRED: Continue -> next registry route; Back -> previous registry route","PARTIAL_PROTOTYPE","Continue | Back | Skip / Not sure","optional body composition/skip","onboarding progress | target review","","","profile draft;policy eligibility","profile;preferences;target draft","target calculation;eligibility rules","default","Continue => validate/save current step then open next onboarding step | Back => open prior onboarding step without losing draft | Skip / Not sure => save unknown and continue","CURRENT: generic Continue/Back wiring is registry-sequential, not product-semantic | CURRENT: internal cards/fields/options are mostly presentation-only until callbacks/state are added","P0","Replace sequential scaffold routing with typed screen actions/ViewModel state; convert visual controls to real Compose inputs/click targets; add repository/use-case calls; add loading/error/offline/idempotency tests."
"ONB_012","ONB","Primary Goal","WIRED: Continue -> next registry route; Back -> previous registry route","PARTIAL_PROTOTYPE","Continue | Back","goal choice","onboarding progress | target review","","","profile draft;policy eligibility","profile;preferences;target draft","target calculation;eligibility rules","default","Continue => validate/save current step then open next onboarding step | Back => open prior onboarding step without losing draft","CURRENT: generic Continue/Back wiring is registry-sequential, not product-semantic | CURRENT: internal cards/fields/options are mostly presentation-only until callbacks/state are added","P0","Replace sequential scaffold routing with typed screen actions/ViewModel state; convert visual controls to real Compose inputs/click targets; add repository/use-case calls; add loading/error/offline/idempotency tests."
"ONB_013","ONB","Target Context","WIRED: Continue -> next registry route; Back -> previous registry route","PARTIAL_PROTOTYPE","Continue | Back","eligible target context","onboarding progress | target review","","","profile draft;policy eligibility","profile;preferences;target draft","target calculation;eligibility rules","default","Continue => validate/save current step then open next onboarding step | Back => open prior onboarding step without losing draft","CURRENT: generic Continue/Back wiring is registry-sequential, not product-semantic | CURRENT: internal cards/fields/options are mostly presentation-only until callbacks/state are added","P0","Replace sequential scaffold routing with typed screen actions/ViewModel state; convert visual controls to real Compose inputs/click targets; add repository/use-case calls; add loading/error/offline/idempotency tests."
"ONB_014","ONB","Training Frequency","WIRED: Continue -> next registry route; Back -> previous registry route","PARTIAL_PROTOTYPE","Continue | Back","days/week","onboarding progress | target review","","","profile draft;policy eligibility","profile;preferences;target draft","target calculation;eligibility rules","default","Continue => validate/save current step then open next onboarding step | Back => open prior onboarding step without losing draft","CURRENT: generic Continue/Back wiring is registry-sequential, not product-semantic | CURRENT: internal cards/fields/options are mostly presentation-only until callbacks/state are added","P0","Replace sequential scaffold routing with typed screen actions/ViewModel state; convert visual controls to real Compose inputs/click targets; add repository/use-case calls; add loading/error/offline/idempotency tests."
"ONB_015","ONB","Session Duration","WIRED: Continue -> next registry route; Back -> previous registry route","PARTIAL_PROTOTYPE","Continue | Back","session length","onboarding progress | target review","","","profile draft;policy eligibility","profile;preferences;target draft","target calculation;eligibility rules","default","Continue => validate/save current step then open next onboarding step | Back => open prior onboarding step without losing draft","CURRENT: generic Continue/Back wiring is registry-sequential, not product-semantic | CURRENT: internal cards/fields/options are mostly presentation-only until callbacks/state are added","P0","Replace sequential scaffold routing with typed screen actions/ViewModel state; convert visual controls to real Compose inputs/click targets; add repository/use-case calls; add loading/error/offline/idempotency tests."
"ONB_016","ONB","Dietary Preferences","WIRED: Continue -> next registry route; Back -> previous registry route","PARTIAL_PROTOTYPE","Continue | Back","diet preferences","onboarding progress | target review","","","profile draft;policy eligibility","profile;preferences;target draft","target calculation;eligibility rules","default","Continue => validate/save current step then open next onboarding step | Back => open prior onboarding step without losing draft","CURRENT: generic Continue/Back wiring is registry-sequential, not product-semantic | CURRENT: internal cards/fields/options are mostly presentation-only until callbacks/state are added","P0","Replace sequential scaffold routing with typed screen actions/ViewModel state; convert visual controls to real Compose inputs/click targets; add repository/use-case calls; add loading/error/offline/idempotency tests."
"ONB_017","ONB","Allergies and Exclusions","WIRED: Continue -> next registry route; Back -> previous registry route","PARTIAL_PROTOTYPE","Continue | Back","allergies | exclusions | dislikes","onboarding progress | target review","","","profile draft;policy eligibility","profile;preferences;target draft","target calculation;eligibility rules","default","Continue => validate/save current step then open next onboarding step | Back => open prior onboarding step without losing draft","CURRENT: generic Continue/Back wiring is registry-sequential, not product-semantic | CURRENT: internal cards/fields/options are mostly presentation-only until callbacks/state are added","P0","Replace sequential scaffold routing with typed screen actions/ViewModel state; convert visual controls to real Compose inputs/click targets; add repository/use-case calls; add loading/error/offline/idempotency tests."
"ONB_018","ONB","Target Review and Finish","WIRED: Continue -> next registry route; Back -> previous registry route","PARTIAL_PROTOTYPE","Continue | Back | Edit | Confirm targets","","onboarding progress | target review","","","profile draft;policy eligibility","profile;preferences;target draft","target calculation;eligibility rules","default","Continue => validate/save current step then open next onboarding step | Back => open prior onboarding step without losing draft | Edit => return to relevant inputs | Confirm targets => save future target revision then finish","CURRENT: generic Continue/Back wiring is registry-sequential, not product-semantic | CURRENT: internal cards/fields/options are mostly presentation-only until callbacks/state are added","P0","Replace sequential scaffold routing with typed screen actions/ViewModel state; convert visual controls to real Compose inputs/click targets; add repository/use-case calls; add loading/error/offline/idempotency tests."
"TOD_001","TOD","Today Dashboard","WIRED: Continue -> next registry route; Back -> previous registry route","PARTIAL_PROTOTYPE","Log Food | More Nutrition | Next Action | Calendar | Profile | Workout | Meal | Device","","daily status | next action | warnings","","","today aggregate;targets;meals;workout;device freshness","none directly except quick actions","Today next-action ranking","default","Log Food => open Camera/Add Food | More Nutrition => expand/open Nutrition Expanded | Next Action => open prioritized action | Calendar => open global Calendar | Profile => open Profile | Workout => open Today Workout/Train | Meal => open meal detail | Device => open device status","CURRENT: generic Continue/Back wiring is registry-sequential, not product-semantic | CURRENT: internal cards/fields/options are mostly presentation-only until callbacks/state are added","P0","Replace sequential scaffold routing with typed screen actions/ViewModel state; convert visual controls to real Compose inputs/click targets; add repository/use-case calls; add loading/error/offline/idempotency tests."
"TOD_002","TOD","Nutrition Expanded","WIRED: Continue -> next registry route; Back -> previous registry route","PARTIAL_PROTOTYPE","Open detail/action | Back to Today","","daily status | next action | warnings","","","today aggregate;targets;meals;workout;device freshness","none directly except quick actions","Today next-action ranking","default","Open detail/action => open relevant Fuel/Train/Device destination | Back to Today => return Today","CURRENT: generic Continue/Back wiring is registry-sequential, not product-semantic | CURRENT: internal cards/fields/options are mostly presentation-only until callbacks/state are added","P0","Replace sequential scaffold routing with typed screen actions/ViewModel state; convert visual controls to real Compose inputs/click targets; add repository/use-case calls; add loading/error/offline/idempotency tests."
"TOD_003","TOD","Next Action Detail","WIRED: Continue -> next registry route; Back -> previous registry route","PARTIAL_PROTOTYPE","Open detail/action | Back to Today","","daily status | next action | warnings","","","today aggregate;targets;meals;workout;device freshness","none directly except quick actions","Today next-action ranking","default","Open detail/action => open relevant Fuel/Train/Device destination | Back to Today => return Today","CURRENT: generic Continue/Back wiring is registry-sequential, not product-semantic | CURRENT: internal cards/fields/options are mostly presentation-only until callbacks/state are added","P0","Replace sequential scaffold routing with typed screen actions/ViewModel state; convert visual controls to real Compose inputs/click targets; add repository/use-case calls; add loading/error/offline/idempotency tests."
"TOD_004","TOD","Device Status","WIRED: Continue -> next registry route; Back -> previous registry route","PARTIAL_PROTOTYPE","Open detail/action | Back to Today","","daily status | next action | warnings","","","today aggregate;targets;meals;workout;device freshness","none directly except quick actions","Today next-action ranking","default","Open detail/action => open relevant Fuel/Train/Device destination | Back to Today => return Today","CURRENT: generic Continue/Back wiring is registry-sequential, not product-semantic | CURRENT: internal cards/fields/options are mostly presentation-only until callbacks/state are added","P0","Replace sequential scaffold routing with typed screen actions/ViewModel state; convert visual controls to real Compose inputs/click targets; add repository/use-case calls; add loading/error/offline/idempotency tests."
"TOD_005","TOD","Today Workout Preview","WIRED: Continue -> next registry route; Back -> previous registry route","PARTIAL_PROTOTYPE","Open detail/action | Back to Today","","daily status | next action | warnings","","","today aggregate;targets;meals;workout;device freshness","none directly except quick actions","Today next-action ranking","default","Open detail/action => open relevant Fuel/Train/Device destination | Back to Today => return Today","CURRENT: generic Continue/Back wiring is registry-sequential, not product-semantic | CURRENT: internal cards/fields/options are mostly presentation-only until callbacks/state are added","P0","Replace sequential scaffold routing with typed screen actions/ViewModel state; convert visual controls to real Compose inputs/click targets; add repository/use-case calls; add loading/error/offline/idempotency tests."
"TOD_006","TOD","Today Meal Plan","WIRED: Continue -> next registry route; Back -> previous registry route","PARTIAL_PROTOTYPE","Open detail/action | Back to Today","","daily status | next action | warnings","","","today aggregate;targets;meals;workout;device freshness","none directly except quick actions","Today next-action ranking","default","Open detail/action => open relevant Fuel/Train/Device destination | Back to Today => return Today","CURRENT: generic Continue/Back wiring is registry-sequential, not product-semantic | CURRENT: internal cards/fields/options are mostly presentation-only until callbacks/state are added","P0","Replace sequential scaffold routing with typed screen actions/ViewModel state; convert visual controls to real Compose inputs/click targets; add repository/use-case calls; add loading/error/offline/idempotency tests."
"TOD_007","TOD","Confirmed Meals","WIRED: Continue -> next registry route; Back -> previous registry route","PARTIAL_PROTOTYPE","Open detail/action | Back to Today","","daily status | next action | warnings","","","today aggregate;targets;meals;workout;device freshness","none directly except quick actions","Today next-action ranking","default","Open detail/action => open relevant Fuel/Train/Device destination | Back to Today => return Today","CURRENT: generic Continue/Back wiring is registry-sequential, not product-semantic | CURRENT: internal cards/fields/options are mostly presentation-only until callbacks/state are added | protect against duplicate submission; destructive/payment actions require confirmation/idempotency","P0","Replace sequential scaffold routing with typed screen actions/ViewModel state; convert visual controls to real Compose inputs/click targets; add repository/use-case calls; add loading/error/offline/idempotency tests."
"TOD_008","TOD","Today Loading","WIRED: Continue -> next registry route; Back -> previous registry route","PARTIAL_PROTOTYPE","Open detail/action | Back to Today | Retry/Refresh","","daily status | next action | warnings | progress/processing status","","","today aggregate;targets;meals;workout;device freshness","none directly except quick actions","Today next-action ranking","default | processing","Open detail/action => open relevant Fuel/Train/Device destination | Back to Today => return Today | Retry/Refresh => refresh Today aggregate","CURRENT: generic Continue/Back wiring is registry-sequential, not product-semantic | CURRENT: internal cards/fields/options are mostly presentation-only until callbacks/state are added","P0","Replace sequential scaffold routing with typed screen actions/ViewModel state; convert visual controls to real Compose inputs/click targets; add repository/use-case calls; add loading/error/offline/idempotency tests."
"TOD_009","TOD","Today Empty","WIRED: Continue -> next registry route; Back -> previous registry route","PARTIAL_PROTOTYPE","Open detail/action | Back to Today","","daily status | next action | warnings","","","today aggregate;targets;meals;workout;device freshness","none directly except quick actions","Today next-action ranking","default","Open detail/action => open relevant Fuel/Train/Device destination | Back to Today => return Today","CURRENT: generic Continue/Back wiring is registry-sequential, not product-semantic | CURRENT: internal cards/fields/options are mostly presentation-only until callbacks/state are added","P0","Replace sequential scaffold routing with typed screen actions/ViewModel state; convert visual controls to real Compose inputs/click targets; add repository/use-case calls; add loading/error/offline/idempotency tests."
"TOD_010","TOD","Today Unknown","WIRED: Continue -> next registry route; Back -> previous registry route","PARTIAL_PROTOTYPE","Open detail/action | Back to Today | Retry/Refresh","","daily status | next action | warnings | recovery/error state","","","today aggregate;targets;meals;workout;device freshness","none directly except quick actions","Today next-action ranking","default | unknown","Open detail/action => open relevant Fuel/Train/Device destination | Back to Today => return Today | Retry/Refresh => refresh Today aggregate","CURRENT: generic Continue/Back wiring is registry-sequential, not product-semantic | CURRENT: internal cards/fields/options are mostly presentation-only until callbacks/state are added","P0","Replace sequential scaffold routing with typed screen actions/ViewModel state; convert visual controls to real Compose inputs/click targets; add repository/use-case calls; add loading/error/offline/idempotency tests."
"TOD_011","TOD","Today Offline","WIRED: Continue -> next registry route; Back -> previous registry route","PARTIAL_PROTOTYPE","Open detail/action | Back to Today | Retry/Refresh","","daily status | next action | warnings | recovery/error state","","","today aggregate;targets;meals;workout;device freshness","none directly except quick actions","Today next-action ranking","default | offline","Open detail/action => open relevant Fuel/Train/Device destination | Back to Today => return Today | Retry/Refresh => refresh Today aggregate","CURRENT: generic Continue/Back wiring is registry-sequential, not product-semantic | CURRENT: internal cards/fields/options are mostly presentation-only until callbacks/state are added","P0","Replace sequential scaffold routing with typed screen actions/ViewModel state; convert visual controls to real Compose inputs/click targets; add repository/use-case calls; add loading/error/offline/idempotency tests."
"TOD_012","TOD","Today Stale","WIRED: Continue -> next registry route; Back -> previous registry route","PARTIAL_PROTOTYPE","Open detail/action | Back to Today | Retry/Refresh","","daily status | next action | warnings | recovery/error state","","","today aggregate;targets;meals;workout;device freshness","none directly except quick actions","Today next-action ranking","default | stale","Open detail/action => open relevant Fuel/Train/Device destination | Back to Today => return Today | Retry/Refresh => refresh Today aggregate","CURRENT: generic Continue/Back wiring is registry-sequential, not product-semantic | CURRENT: internal cards/fields/options are mostly presentation-only until callbacks/state are added","P0","Replace sequential scaffold routing with typed screen actions/ViewModel state; convert visual controls to real Compose inputs/click targets; add repository/use-case calls; add loading/error/offline/idempotency tests."
"CAM_001","CAM","Food Camera","WIRED: Continue -> next registry route; Back -> previous registry route","PARTIAL_PROTOTYPE","Capture | Gallery","camera frame","food candidates | portion candidates | review draft","camera","CAMERA","food catalog;nutrition providers","food-analysis draft;confirmed meal after confirm","image quality;food detection;portion estimate;trusted nutrition matching","default","Capture => capture image then Image Preview | Gallery => open system Photo Picker","CURRENT: generic Continue/Back wiring is registry-sequential, not product-semantic | CURRENT: internal cards/fields/options are mostly presentation-only until callbacks/state are added | AI/provider result must remain draft until user confirms","P0","Replace sequential scaffold routing with typed screen actions/ViewModel state; convert visual controls to real Compose inputs/click targets; add repository/use-case calls; add loading/error/offline/idempotency tests."
"CAM_002","CAM","Camera Permission","WIRED: Continue -> next registry route; Back -> previous registry route","PARTIAL_PROTOTYPE","Allow camera | Not now","camera frame","food candidates | portion candidates | review draft","camera","CAMERA","food catalog;nutrition providers","food-analysis draft;confirmed meal after confirm","image quality;food detection;portion estimate;trusted nutrition matching","default | permission","Allow camera => request camera permission | Not now => return/manual food path","CURRENT: generic Continue/Back wiring is registry-sequential, not product-semantic | CURRENT: internal cards/fields/options are mostly presentation-only until callbacks/state are added | AI/provider result must remain draft until user confirms","P0","Replace sequential scaffold routing with typed screen actions/ViewModel state; convert visual controls to real Compose inputs/click targets; add repository/use-case calls; add loading/error/offline/idempotency tests."
"CAM_003","CAM","Food Framing","WIRED: Continue -> next registry route; Back -> previous registry route","PARTIAL_PROTOTYPE","Capture | Gallery","camera frame","food candidates | portion candidates | review draft","camera","CAMERA","food catalog;nutrition providers","food-analysis draft;confirmed meal after confirm","image quality;food detection;portion estimate;trusted nutrition matching","default","Capture => capture image then Image Preview | Gallery => open system Photo Picker","CURRENT: generic Continue/Back wiring is registry-sequential, not product-semantic | CURRENT: internal cards/fields/options are mostly presentation-only until callbacks/state are added | AI/provider result must remain draft until user confirms","P0","Replace sequential scaffold routing with typed screen actions/ViewModel state; convert visual controls to real Compose inputs/click targets; add repository/use-case calls; add loading/error/offline/idempotency tests."
