"table","domain","owner_model","time_horizon","fact_evidence_class","algorithm_gate"
"sport_discipline","All sports","Platform-owned","Intermediate","Licensed source fact; test-protocol evidence","Source and protocol review required"
"sport_event","All sports","Platform-owned","Intermediate","Licensed source fact; test-protocol evidence","Source and protocol review required"
"sport_position","All sports","Platform-owned","Intermediate","Licensed source fact; test-protocol evidence","Source and protocol review required"
"sport_skill","All sports","Platform-owned","Intermediate","Licensed source fact; test-protocol evidence","Source and protocol review required"
"sport_drill","All sports","Platform-owned","Intermediate","Licensed source fact; test-protocol evidence","Source and protocol review required"
"sport_drill_revision","All sports","Platform-owned","Intermediate","Licensed source fact; test-protocol evidence","Source and protocol review required"
"sport_drill_step","All sports","Platform-owned","Intermediate","Licensed source fact; test-protocol evidence","Source and protocol review required"
"sport_metric_definition","All sports","Platform-owned","Intermediate","Licensed source fact; test-protocol evidence","Source and protocol review required"
"sport_metric_unit","All sports","Platform-owned","Intermediate","Licensed source fact; test-protocol evidence","Source and protocol review required"
"sport_test_protocol","All sports","Platform-owned","Intermediate","Licensed source fact; test-protocol evidence","Source and protocol review required"
"sport_test_step","All sports","Platform-owned","Intermediate","Licensed source fact; test-protocol evidence","Source and protocol review required"
"sport_equipment_rule","All sports","Platform-owned","Intermediate","Licensed source fact; test-protocol evidence","Source and protocol review required"
"sport_environment_rule","All sports","Platform-owned","Intermediate","Licensed source fact; test-protocol evidence","Source and protocol review required"
"sport_season_rule","All sports","Platform-owned","Intermediate","Licensed source fact; test-protocol evidence","Source and protocol review required"
"sport_taxonomy_map","All sports","Platform-owned","Intermediate","Licensed source fact; test-protocol evidence","Source and protocol review required"
"anatomy_region","Anatomy, safety & substitutions","Platform policy","Intermediate + scientific","Scientific evidence; expert policy; unknown","Scientific/expert review required"
"muscle_group","Anatomy, safety & substitutions","Platform policy","Intermediate + scientific","Scientific evidence; expert policy; unknown","Scientific/expert review required"
"muscle","Anatomy, safety & substitutions","Platform policy","Intermediate + scientific","Scientific evidence; expert policy; unknown","Scientific/expert review required"
"joint","Anatomy, safety & substitutions","Platform policy","Intermediate + scientific","Scientific evidence; expert policy; unknown","Scientific/expert review required"
"movement_pattern","Anatomy, safety & substitutions","Platform policy","Intermediate + scientific","Scientific evidence; expert policy; unknown","Scientific/expert review required"
"movement_plane","Anatomy, safety & substitutions","Platform policy","Intermediate + scientific","Scientific evidence; expert policy; unknown","Scientific/expert review required"
"movement_constraint","Anatomy, safety & substitutions","Platform policy","Intermediate + scientific","Scientific evidence; expert policy; unknown","Scientific/expert review required"
"condition","Anatomy, safety & substitutions","Platform policy","Intermediate + scientific","Scientific evidence; expert policy; unknown","Scientific/expert review required"
"contraindication","Anatomy, safety & substitutions","Platform policy","Intermediate + scientific","Scientific evidence; expert policy; unknown","Scientific/expert review required"
"condition_exercise_rule","Anatomy, safety & substitutions","Platform policy","Intermediate + scientific","Scientific evidence; expert policy; unknown","Scientific/expert review required"
"safety_screen_definition","Anatomy, safety & substitutions","Platform policy","Intermediate + scientific","Scientific evidence; expert policy; unknown","Scientific/expert review required"
"safety_screen_rule","Anatomy, safety & substitutions","Platform policy","Intermediate + scientific","Scientific evidence; expert policy; unknown","Scientific/expert review required"
"exercise_safety_rule","Anatomy, safety & substitutions","Platform policy","Intermediate + scientific","Scientific evidence; expert policy; unknown","Scientific/expert review required"
"progression_rule","Anatomy, safety & substitutions","Platform policy","Intermediate + scientific","Scientific evidence; expert policy; unknown","Scientific/expert review required"
"regression_rule","Anatomy, safety & substitutions","Platform policy","Intermediate + scientific","Scientific evidence; expert policy; unknown","Scientific/expert review required"
"substitution_group","Anatomy, safety & substitutions","Platform policy","Intermediate + scientific","Scientific evidence; expert policy; unknown","Scientific/expert review required"
"substitution_rule","Anatomy, safety & substitutions","Platform policy","Intermediate + scientific","Scientific evidence; expert policy; unknown","Scientific/expert review required"
"load_model","Anatomy, safety & substitutions","Platform policy","Intermediate + scientific","Scientific evidence; expert policy; unknown","Scientific/expert review required"
"media_asset","Photos & videos","Platform-owned","Immediate + intermediate","Rights, license, attribution evidence","Rights approval required"
"media_asset_revision","Photos & videos","Platform-owned","Immediate + intermediate","Rights, license, attribution evidence","Rights approval required"
"media_variant","Photos & videos","Platform-owned","Immediate + intermediate","Rights, license, attribution evidence","Rights approval required"
"media_license","Photos & videos","Platform-owned","Immediate + intermediate","Rights, license, attribution evidence","Rights approval required"
"media_rights_evidence","Photos & videos","Platform-owned","Immediate + intermediate","Rights, license, attribution evidence","Rights approval required"
"media_source_link","Photos & videos","Platform-owned","Immediate + intermediate","Rights, license, attribution evidence","Rights approval required"
"media_ingestion_job","Photos & videos","Platform-owned","Immediate + intermediate","Rights, license, attribution evidence","Rights approval required"
"media_transcode_job","Photos & videos","Platform-owned","Immediate + intermediate","Rights, license, attribution evidence","Rights approval required"
"media_quality_review","Photos & videos","Platform-owned","Immediate + intermediate","Rights, license, attribution evidence","Rights approval required"
"media_attribution","Photos & videos","Platform-owned","Immediate + intermediate","Rights, license, attribution evidence","Rights approval required"
"media_access_policy","Photos & videos","Platform-owned","Immediate + intermediate","Rights, license, attribution evidence","Rights approval required"
"media_deletion_request","Photos & videos","Platform-owned","Immediate + intermediate","Rights, license, attribution evidence","Rights approval required"
"media_delivery_audit","Photos & videos","Platform-owned","Immediate + intermediate","Rights, license, attribution evidence","Rights approval required"
"training_goal","Programs & algorithms","Platform + athlete scoped","Immediate + intermediate","Algorithm policy; controlled validation","Release validation required"
"program_template","Programs & algorithms","Platform + athlete scoped","Immediate + intermediate","Algorithm policy; controlled validation","Release validation required"
"template_revision","Programs & algorithms","Platform + athlete scoped","Immediate + intermediate","Algorithm policy; controlled validation","Release validation required"
"template_block","Programs & algorithms","Platform + athlete scoped","Immediate + intermediate","Algorithm policy; controlled validation","Release validation required"
"template_session","Programs & algorithms","Platform + athlete scoped","Immediate + intermediate","Algorithm policy; controlled validation","Release validation required"
"template_session_item","Programs & algorithms","Platform + athlete scoped","Immediate + intermediate","Algorithm policy; controlled validation","Release validation required"
"workout_plan","Programs & algorithms","Platform + athlete scoped","Immediate + intermediate","Algorithm policy; controlled validation","Release validation required"
"plan_revision","Programs & algorithms","Platform + athlete scoped","Immediate + intermediate","Algorithm policy; controlled validation","Release validation required"
"planned_session","Programs & algorithms","Platform + athlete scoped","Immediate + intermediate","Algorithm policy; controlled validation","Release validation required"
"planned_session_item","Programs & algorithms","Platform + athlete scoped","Immediate + intermediate","Algorithm policy; controlled validation","Release validation required"
"program_phase","Programs & algorithms","Platform + athlete scoped","Immediate + intermediate","Algorithm policy; controlled validation","Release validation required"
"progression_policy","Programs & algorithms","Platform + athlete scoped","Immediate + intermediate","Algorithm policy; controlled validation","Release validation required"
"deload_policy","Programs & algorithms","Platform + athlete scoped","Immediate + intermediate","Algorithm policy; controlled validation","Release validation required"
"session_requirement","Programs & algorithms","Platform + athlete scoped","Immediate + intermediate","Algorithm policy; controlled validation","Release validation required"
"algorithm_release","Programs & algorithms","Platform + athlete scoped","Immediate + intermediate","Algorithm policy; controlled validation","Release validation required"
"algorithm_rule_set","Programs & algorithms","Platform + athlete scoped","Immediate + intermediate","Algorithm policy; controlled validation","Release validation required"
"algorithm_run","Programs & algorithms","Platform + athlete scoped","Immediate + intermediate","Algorithm policy; controlled validation","Release validation required"
"algorithm_decision","Programs & algorithms","Platform + athlete scoped","Immediate + intermediate","Algorithm policy; controlled validation","Release validation required"
"training_account","Athlete performance","Athlete scoped","Immediate","User-performed or device observation","Observational; not scientific truth"
"athlete_profile","Athlete performance","Athlete scoped","Immediate","User-performed or device observation","Observational; not scientific truth"
"athlete_sport_profile","Athlete performance","Athlete scoped","Immediate","User-performed or device observation","Observational; not scientific truth"
"athlete_goal","Athlete performance","Athlete scoped","Immediate","User-performed or device observation","Observational; not scientific truth"
"athlete_equipment","Athlete performance","Athlete scoped","Immediate","User-performed or device observation","Observational; not scientific truth"
"athlete_limitation","Athlete performance","Athlete scoped","Immediate","User-performed or device observation","Observational; not scientific truth"
"athlete_availability","Athlete performance","Athlete scoped","Immediate","User-performed or device observation","Observational; not scientific truth"
"readiness_checkin","Athlete performance","Athlete scoped","Immediate","User-performed or device observation","Observational; not scientific truth"
"workout_session","Athlete performance","Athlete scoped","Immediate","User-performed or device observation","Observational; not scientific truth"
"workout_session_revision","Athlete performance","Athlete scoped","Immediate","User-performed or device observation","Observational; not scientific truth"
"workout_event","Athlete performance","Athlete scoped","Immediate","User-performed or device observation","Observational; not scientific truth"
"performed_exercise","Athlete performance","Athlete scoped","Immediate","User-performed or device observation","Observational; not scientific truth"
"performed_set","Athlete performance","Athlete scoped","Immediate","User-performed or device observation","Observational; not scientific truth"
"set_metric","Athlete performance","Athlete scoped","Immediate","User-performed or device observation","Observational; not scientific truth"
"rest_interval","Athlete performance","Athlete scoped","Immediate","User-performed or device observation","Observational; not scientific truth"
"session_metric","Athlete performance","Athlete scoped","Immediate","User-performed or device observation","Observational; not scientific truth"
"workout_summary","Athlete performance","Athlete scoped","Immediate","User-performed or device observation","Observational; not scientific truth"
"personal_record","Athlete performance","Athlete scoped","Immediate","User-performed or device observation","Observational; not scientific truth"
"sport_activity","Athlete performance","Athlete scoped","Immediate","User-performed or device observation","Observational; not scientific truth"
"sport_lap_split","Athlete performance","Athlete scoped","Immediate","User-performed or device observation","Observational; not scientific truth"
"coach_profile","Coach & client collaboration","Relationship scoped","Intermediate","Private coach/client report","Access and audit control required"
"coach_client_relationship","Coach & client collaboration","Relationship scoped","Intermediate","Private coach/client report","Access and audit control required"
"coaching_invitation","Coach & client collaboration","Relationship scoped","Intermediate","Private coach/client report","Access and audit control required"
"coach_note","Coach & client collaboration","Relationship scoped","Intermediate","Private coach/client report","Access and audit control required"
"coach_note_revision","Coach & client collaboration","Relationship scoped","Intermediate","Private coach/client report","Access and audit control required"
"comment_thread","Coach & client collaboration","Relationship scoped","Intermediate","Private coach/client report","Access and audit control required"
"comment","Coach & client collaboration","Relationship scoped","Intermediate","Private coach/client report","Access and audit control required"
"comment_attachment","Coach & client collaboration","Relationship scoped","Intermediate","Private coach/client report","Access and audit control required"
"coaching_task","Coach & client collaboration","Relationship scoped","Intermediate","Private coach/client report","Access and audit control required"
"coaching_task_update","Coach & client collaboration","Relationship scoped","Intermediate","Private coach/client report","Access and audit control required"
"checkin_request","Coach & client collaboration","Relationship scoped","Intermediate","Private coach/client report","Access and audit control required"
"progress_review","Coach & client collaboration","Relationship scoped","Intermediate","Private coach/client report","Access and audit control required"
"message_thread","Coach & client collaboration","Relationship scoped","Intermediate","Private coach/client report","Access and audit control required"
"message","Coach & client collaboration","Relationship scoped","Intermediate","Private coach/client report","Access and audit control required"
"message_attachment","Coach & client collaboration","Relationship scoped","Intermediate","Private coach/client report","Access and audit control required"
"device","Devices, imports & governance","Platform or athlete scoped","Immediate + intermediate","Operational, consent, audit, import fact","Audit/review required"
"device_authorization","Devices, imports & governance","Platform or athlete scoped","Immediate + intermediate","Operational, consent, audit, import fact","Audit/review required"
"device_sync_cursor","Devices, imports & governance","Platform or athlete scoped","Immediate + intermediate","Operational, consent, audit, import fact","Audit/review required"
"health_observation","Devices, imports & governance","Platform or athlete scoped","Immediate + intermediate","Operational, consent, audit, import fact","Audit/review required"
"health_observation_source","Devices, imports & governance","Platform or athlete scoped","Immediate + intermediate","Operational, consent, audit, import fact","Audit/review required"
"body_measurement","Devices, imports & governance","Platform or athlete scoped","Immediate + intermediate","Operational, consent, audit, import fact","Audit/review required"
"fitness_baseline","Devices, imports & governance","Platform or athlete scoped","Immediate + intermediate","Operational, consent, audit, import fact","Audit/review required"
"import_run","Devices, imports & governance","Platform or athlete scoped","Immediate + intermediate","Operational, consent, audit, import fact","Audit/review required"
"import_item","Devices, imports & governance","Platform or athlete scoped","Immediate + intermediate","Operational, consent, audit, import fact","Audit/review required"
"import_error","Devices, imports & governance","Platform or athlete scoped","Immediate + intermediate","Operational, consent, audit, import fact","Audit/review required"
"export_run","Devices, imports & governance","Platform or athlete scoped","Immediate + intermediate","Operational, consent, audit, import fact","Audit/review required"
"export_item","Devices, imports & governance","Platform or athlete scoped","Immediate + intermediate","Operational, consent, audit, import fact","Audit/review required"
"audit_event","Devices, imports & governance","Platform or athlete scoped","Immediate + intermediate","Operational, consent, audit, import fact","Audit/review required"
"access_grant","Devices, imports & governance","Platform or athlete scoped","Immediate + intermediate","Operational, consent, audit, import fact","Audit/review required"
"consent_record","Devices, imports & governance","Platform or athlete scoped","Immediate + intermediate","Operational, consent, audit, import fact","Audit/review required"
"retention_policy","Devices, imports & governance","Platform or athlete scoped","Immediate + intermediate","Operational, consent, audit, import fact","Audit/review required"
"deletion_request","Devices, imports & governance","Platform or athlete scoped","Immediate + intermediate","Operational, consent, audit, import fact","Audit/review required"
"review_queue","Devices, imports & governance","Platform or athlete scoped","Immediate + intermediate","Operational, consent, audit, import fact","Audit/review required"
"review_decision","Devices, imports & governance","Platform or athlete scoped","Immediate + intermediate","Operational, consent, audit, import fact","Audit/review required"
"notification","Devices, imports & governance","Platform or athlete scoped","Immediate + intermediate","Operational, consent, audit, import fact","Audit/review required"
"notification_delivery","Devices, imports & governance","Platform or athlete scoped","Immediate + intermediate","Operational, consent, audit, import fact","Audit/review required"
