"screen_id","screen_title","control","control_type","current_implementation","expected_on_click","confirmation_required","permission_gate","data_effect","priority","implementation_note"
"AUTH_004","Verify Email","Resend","secondary","PLANNED_REQUIRED","request new verification email","no","network","verification request","P0","implement via typed UiAction/ViewModel; add disabled/loading/success/error states"
"AUTH_005","Resend Verification","Continue","current primary button","WIRED_BUT_WRONG_SEMANTICS","navigate to next registry route","no","none","navigation only","P0","replace with semantic primary action"
"AUTH_005","Resend Verification","Back","current text button","WIRED_BUT_WRONG_SEMANTICS","navigate to previous registry route","no","none","navigation only","P0","replace with parent/back-stack/cancel behavior"
"AUTH_005","Resend Verification","Resend verification","primary","PLANNED_REQUIRED","request email","no","network","verification request","P0","implement via typed UiAction/ViewModel; add disabled/loading/success/error states"
"AUTH_006","Verification Success","Continue","current primary button","WIRED_BUT_WRONG_SEMANTICS","navigate to next registry route","no","none","navigation only","P0","replace with semantic primary action"
"AUTH_006","Verification Success","Back","current text button","WIRED_BUT_WRONG_SEMANTICS","navigate to previous registry route","no","none","navigation only","P0","replace with parent/back-stack/cancel behavior"
"AUTH_006","Verification Success","Continue","primary","PLANNED_REQUIRED","open onboarding/Today","no","none","none","P0","implement via typed UiAction/ViewModel; add disabled/loading/success/error states"
"AUTH_007","Verification Expired","Continue","current primary button","WIRED_BUT_WRONG_SEMANTICS","navigate to next registry route","no","none","navigation only","P0","replace with semantic primary action"
"AUTH_007","Verification Expired","Back","current text button","WIRED_BUT_WRONG_SEMANTICS","navigate to previous registry route","no","none","navigation only","P0","replace with parent/back-stack/cancel behavior"
"AUTH_007","Verification Expired","Resend link","primary","PLANNED_REQUIRED","create fresh verification/reset request","no","network","request","P0","implement via typed UiAction/ViewModel; add disabled/loading/success/error states"
"AUTH_008","Forgot Password","Continue","current primary button","WIRED_BUT_WRONG_SEMANTICS","navigate to next registry route","no","none","navigation only","P0","replace with semantic primary action"
"AUTH_008","Forgot Password","Back","current text button","WIRED_BUT_WRONG_SEMANTICS","navigate to previous registry route","no","none","navigation only","P0","replace with parent/back-stack/cancel behavior"
"AUTH_008","Forgot Password","Send reset link","primary","PLANNED_REQUIRED","request password reset","no","network","reset request","P0","implement via typed UiAction/ViewModel; add disabled/loading/success/error states"
"AUTH_009","Reset Password","Continue","current primary button","WIRED_BUT_WRONG_SEMANTICS","navigate to next registry route","no","none","navigation only","P0","replace with semantic primary action"
"AUTH_009","Reset Password","Back","current text button","WIRED_BUT_WRONG_SEMANTICS","navigate to previous registry route","no","none","navigation only","P0","replace with parent/back-stack/cancel behavior"
"AUTH_009","Reset Password","Save new password","primary","PLANNED_REQUIRED","update password then success","no","network","credential update","P0","implement via typed UiAction/ViewModel; add disabled/loading/success/error states"
"AUTH_010","Password Reset Success","Continue","current primary button","WIRED_BUT_WRONG_SEMANTICS","navigate to next registry route","no","none","navigation only","P0","replace with semantic primary action"
"AUTH_010","Password Reset Success","Back","current text button","WIRED_BUT_WRONG_SEMANTICS","navigate to previous registry route","no","none","navigation only","P0","replace with parent/back-stack/cancel behavior"
"AUTH_010","Password Reset Success","Sign in","primary","PLANNED_REQUIRED","open Sign In","no","none","none","P0","implement via typed UiAction/ViewModel; add disabled/loading/success/error states"
"AUTH_011","Offline Account State","Continue","current primary button","WIRED_BUT_WRONG_SEMANTICS","navigate to next registry route","no","none","navigation only","P0","replace with semantic primary action"
"AUTH_011","Offline Account State","Back","current text button","WIRED_BUT_WRONG_SEMANTICS","navigate to previous registry route","no","none","navigation only","P0","replace with parent/back-stack/cancel behavior"
"AUTH_011","Offline Account State","Retry","primary","PLANNED_REQUIRED","retry account/session operation","no","none","none","P0","implement via typed UiAction/ViewModel; add disabled/loading/success/error states"
"AUTH_011","Offline Account State","Sign in","secondary","PLANNED_REQUIRED","open Sign In","no","none","none","P0","implement via typed UiAction/ViewModel; add disabled/loading/success/error states"
"AUTH_012","Session Expired","Continue","current primary button","WIRED_BUT_WRONG_SEMANTICS","navigate to next registry route","no","none","navigation only","P0","replace with semantic primary action"
"AUTH_012","Session Expired","Back","current text button","WIRED_BUT_WRONG_SEMANTICS","navigate to previous registry route","no","none","navigation only","P0","replace with parent/back-stack/cancel behavior"
"AUTH_012","Session Expired","Resend link","primary","PLANNED_REQUIRED","create fresh verification/reset request","no","network","request","P0","implement via typed UiAction/ViewModel; add disabled/loading/success/error states"
"ONB_001","Welcome","Continue","current primary button","WIRED_BUT_WRONG_SEMANTICS","navigate to next registry route","no","none","navigation only","P0","replace with semantic primary action"
"ONB_001","Welcome","Back","current text button","WIRED_BUT_WRONG_SEMANTICS","navigate to previous registry route","no","none","navigation only","P0","replace with parent/back-stack/cancel behavior"
"ONB_001","Welcome","Continue","primary","PLANNED_REQUIRED","validate/save current step then open next onboarding step","no","none","save onboarding draft","P0","implement via typed UiAction/ViewModel; add disabled/loading/success/error states"
"ONB_001","Welcome","Back","secondary","PLANNED_REQUIRED","open prior onboarding step without losing draft","no","none","none","P0","implement via typed UiAction/ViewModel; add disabled/loading/success/error states"
"ONB_002","Setup Choice","Continue","current primary button","WIRED_BUT_WRONG_SEMANTICS","navigate to next registry route","no","none","navigation only","P0","replace with semantic primary action"
"ONB_002","Setup Choice","Back","current text button","WIRED_BUT_WRONG_SEMANTICS","navigate to previous registry route","no","none","navigation only","P0","replace with parent/back-stack/cancel behavior"
"ONB_002","Setup Choice","Continue","primary","PLANNED_REQUIRED","validate/save current step then open next onboarding step","no","none","save onboarding draft","P0","implement via typed UiAction/ViewModel; add disabled/loading/success/error states"
"ONB_002","Setup Choice","Back","secondary","PLANNED_REQUIRED","open prior onboarding step without losing draft","no","none","none","P0","implement via typed UiAction/ViewModel; add disabled/loading/success/error states"
"ONB_002","Setup Choice","Finish later","secondary","PLANNED_REQUIRED","save deferred personalization then enter Today","no","none","set personalization incomplete","P0","implement via typed UiAction/ViewModel; add disabled/loading/success/error states"
"ONB_003","Name","Continue","current primary button","WIRED_BUT_WRONG_SEMANTICS","navigate to next registry route","no","none","navigation only","P0","replace with semantic primary action"
"ONB_003","Name","Back","current text button","WIRED_BUT_WRONG_SEMANTICS","navigate to previous registry route","no","none","navigation only","P0","replace with parent/back-stack/cancel behavior"
"ONB_003","Name","Continue","primary","PLANNED_REQUIRED","validate/save current step then open next onboarding step","no","none","save onboarding draft","P0","implement via typed UiAction/ViewModel; add disabled/loading/success/error states"
"ONB_003","Name","Back","secondary","PLANNED_REQUIRED","open prior onboarding step without losing draft","no","none","none","P0","implement via typed UiAction/ViewModel; add disabled/loading/success/error states"
"ONB_004","Date of Birth","Continue","current primary button","WIRED_BUT_WRONG_SEMANTICS","navigate to next registry route","no","none","navigation only","P0","replace with semantic primary action"
"ONB_004","Date of Birth","Back","current text button","WIRED_BUT_WRONG_SEMANTICS","navigate to previous registry route","no","none","navigation only","P0","replace with parent/back-stack/cancel behavior"
"ONB_004","Date of Birth","Continue","primary","PLANNED_REQUIRED","validate/save current step then open next onboarding step","no","none","save onboarding draft","P0","implement via typed UiAction/ViewModel; add disabled/loading/success/error states"
"ONB_004","Date of Birth","Back","secondary","PLANNED_REQUIRED","open prior onboarding step without losing draft","no","none","none","P0","implement via typed UiAction/ViewModel; add disabled/loading/success/error states"
"ONB_005","Country Language Timezone","Continue","current primary button","WIRED_BUT_WRONG_SEMANTICS","navigate to next registry route","no","none","navigation only","P0","replace with semantic primary action"
"ONB_005","Country Language Timezone","Back","current text button","WIRED_BUT_WRONG_SEMANTICS","navigate to previous registry route","no","none","navigation only","P0","replace with parent/back-stack/cancel behavior"
"ONB_005","Country Language Timezone","Continue","primary","PLANNED_REQUIRED","validate/save current step then open next onboarding step","no","none","save onboarding draft","P0","implement via typed UiAction/ViewModel; add disabled/loading/success/error states"
"ONB_005","Country Language Timezone","Back","secondary","PLANNED_REQUIRED","open prior onboarding step without losing draft","no","none","none","P0","implement via typed UiAction/ViewModel; add disabled/loading/success/error states"
"ONB_006","Units","Continue","current primary button","WIRED_BUT_WRONG_SEMANTICS","navigate to next registry route","no","none","navigation only","P0","replace with semantic primary action"
"ONB_006","Units","Back","current text button","WIRED_BUT_WRONG_SEMANTICS","navigate to previous registry route","no","none","navigation only","P0","replace with parent/back-stack/cancel behavior"
"ONB_006","Units","Continue","primary","PLANNED_REQUIRED","validate/save current step then open next onboarding step","no","none","save onboarding draft","P0","implement via typed UiAction/ViewModel; add disabled/loading/success/error states"
"ONB_006","Units","Back","secondary","PLANNED_REQUIRED","open prior onboarding step without losing draft","no","none","none","P0","implement via typed UiAction/ViewModel; add disabled/loading/success/error states"
"ONB_007","Height","Continue","current primary button","WIRED_BUT_WRONG_SEMANTICS","navigate to next registry route","no","none","navigation only","P0","replace with semantic primary action"
"ONB_007","Height","Back","current text button","WIRED_BUT_WRONG_SEMANTICS","navigate to previous registry route","no","none","navigation only","P0","replace with parent/back-stack/cancel behavior"
"ONB_007","Height","Continue","primary","PLANNED_REQUIRED","validate/save current step then open next onboarding step","no","none","save onboarding draft","P0","implement via typed UiAction/ViewModel; add disabled/loading/success/error states"
"ONB_007","Height","Back","secondary","PLANNED_REQUIRED","open prior onboarding step without losing draft","no","none","none","P0","implement via typed UiAction/ViewModel; add disabled/loading/success/error states"
"ONB_008","Current Weight","Continue","current primary button","WIRED_BUT_WRONG_SEMANTICS","navigate to next registry route","no","none","navigation only","P0","replace with semantic primary action"
"ONB_008","Current Weight","Back","current text button","WIRED_BUT_WRONG_SEMANTICS","navigate to previous registry route","no","none","navigation only","P0","replace with parent/back-stack/cancel behavior"
"ONB_008","Current Weight","Continue","primary","PLANNED_REQUIRED","validate/save current step then open next onboarding step","no","none","save onboarding draft","P0","implement via typed UiAction/ViewModel; add disabled/loading/success/error states"
"ONB_008","Current Weight","Back","secondary","PLANNED_REQUIRED","open prior onboarding step without losing draft","no","none","none","P0","implement via typed UiAction/ViewModel; add disabled/loading/success/error states"
"ONB_009","Energy Estimation Setting","Continue","current primary button","WIRED_BUT_WRONG_SEMANTICS","navigate to next registry route","no","none","navigation only","P0","replace with semantic primary action"
"ONB_009","Energy Estimation Setting","Back","current text button","WIRED_BUT_WRONG_SEMANTICS","navigate to previous registry route","no","none","navigation only","P0","replace with parent/back-stack/cancel behavior"
"ONB_009","Energy Estimation Setting","Continue","primary","PLANNED_REQUIRED","validate/save current step then open next onboarding step","no","none","save onboarding draft","P0","implement via typed UiAction/ViewModel; add disabled/loading/success/error states"
"ONB_009","Energy Estimation Setting","Back","secondary","PLANNED_REQUIRED","open prior onboarding step without losing draft","no","none","none","P0","implement via typed UiAction/ViewModel; add disabled/loading/success/error states"
"ONB_010","Daily Activity","Continue","current primary button","WIRED_BUT_WRONG_SEMANTICS","navigate to next registry route","no","none","navigation only","P0","replace with semantic primary action"
"ONB_010","Daily Activity","Back","current text button","WIRED_BUT_WRONG_SEMANTICS","navigate to previous registry route","no","none","navigation only","P0","replace with parent/back-stack/cancel behavior"
"ONB_010","Daily Activity","Continue","primary","PLANNED_REQUIRED","validate/save current step then open next onboarding step","no","none","save onboarding draft","P0","implement via typed UiAction/ViewModel; add disabled/loading/success/error states"
"ONB_010","Daily Activity","Back","secondary","PLANNED_REQUIRED","open prior onboarding step without losing draft","no","none","none","P0","implement via typed UiAction/ViewModel; add disabled/loading/success/error states"
"ONB_011","Optional Body Composition","Continue","current primary button","WIRED_BUT_WRONG_SEMANTICS","navigate to next registry route","no","none","navigation only","P0","replace with semantic primary action"
"ONB_011","Optional Body Composition","Back","current text button","WIRED_BUT_WRONG_SEMANTICS","navigate to previous registry route","no","none","navigation only","P0","replace with parent/back-stack/cancel behavior"
"ONB_011","Optional Body Composition","Continue","primary","PLANNED_REQUIRED","validate/save current step then open next onboarding step","no","none","save onboarding draft","P0","implement via typed UiAction/ViewModel; add disabled/loading/success/error states"
"ONB_011","Optional Body Composition","Back","secondary","PLANNED_REQUIRED","open prior onboarding step without losing draft","no","none","none","P0","implement via typed UiAction/ViewModel; add disabled/loading/success/error states"
"ONB_011","Optional Body Composition","Skip / Not sure","text","PLANNED_REQUIRED","save unknown and continue","no","none","none","P0","implement via typed UiAction/ViewModel; add disabled/loading/success/error states"
"ONB_012","Primary Goal","Continue","current primary button","WIRED_BUT_WRONG_SEMANTICS","navigate to next registry route","no","none","navigation only","P0","replace with semantic primary action"
"ONB_012","Primary Goal","Back","current text button","WIRED_BUT_WRONG_SEMANTICS","navigate to previous registry route","no","none","navigation only","P0","replace with parent/back-stack/cancel behavior"
"ONB_012","Primary Goal","Continue","primary","PLANNED_REQUIRED","validate/save current step then open next onboarding step","no","none","save onboarding draft","P0","implement via typed UiAction/ViewModel; add disabled/loading/success/error states"
"ONB_012","Primary Goal","Back","secondary","PLANNED_REQUIRED","open prior onboarding step without losing draft","no","none","none","P0","implement via typed UiAction/ViewModel; add disabled/loading/success/error states"
"ONB_013","Target Context","Continue","current primary button","WIRED_BUT_WRONG_SEMANTICS","navigate to next registry route","no","none","navigation only","P0","replace with semantic primary action"
"ONB_013","Target Context","Back","current text button","WIRED_BUT_WRONG_SEMANTICS","navigate to previous registry route","no","none","navigation only","P0","replace with parent/back-stack/cancel behavior"
"ONB_013","Target Context","Continue","primary","PLANNED_REQUIRED","validate/save current step then open next onboarding step","no","none","save onboarding draft","P0","implement via typed UiAction/ViewModel; add disabled/loading/success/error states"
"ONB_013","Target Context","Back","secondary","PLANNED_REQUIRED","open prior onboarding step without losing draft","no","none","none","P0","implement via typed UiAction/ViewModel; add disabled/loading/success/error states"
"ONB_014","Training Frequency","Continue","current primary button","WIRED_BUT_WRONG_SEMANTICS","navigate to next registry route","no","none","navigation only","P0","replace with semantic primary action"
"ONB_014","Training Frequency","Back","current text button","WIRED_BUT_WRONG_SEMANTICS","navigate to previous registry route","no","none","navigation only","P0","replace with parent/back-stack/cancel behavior"
"ONB_014","Training Frequency","Continue","primary","PLANNED_REQUIRED","validate/save current step then open next onboarding step","no","none","save onboarding draft","P0","implement via typed UiAction/ViewModel; add disabled/loading/success/error states"
"ONB_014","Training Frequency","Back","secondary","PLANNED_REQUIRED","open prior onboarding step without losing draft","no","none","none","P0","implement via typed UiAction/ViewModel; add disabled/loading/success/error states"
"ONB_015","Session Duration","Continue","current primary button","WIRED_BUT_WRONG_SEMANTICS","navigate to next registry route","no","none","navigation only","P0","replace with semantic primary action"
"ONB_015","Session Duration","Back","current text button","WIRED_BUT_WRONG_SEMANTICS","navigate to previous registry route","no","none","navigation only","P0","replace with parent/back-stack/cancel behavior"
"ONB_015","Session Duration","Continue","primary","PLANNED_REQUIRED","validate/save current step then open next onboarding step","no","none","save onboarding draft","P0","implement via typed UiAction/ViewModel; add disabled/loading/success/error states"
"ONB_015","Session Duration","Back","secondary","PLANNED_REQUIRED","open prior onboarding step without losing draft","no","none","none","P0","implement via typed UiAction/ViewModel; add disabled/loading/success/error states"
"ONB_016","Dietary Preferences","Continue","current primary button","WIRED_BUT_WRONG_SEMANTICS","navigate to next registry route","no","none","navigation only","P0","replace with semantic primary action"
"ONB_016","Dietary Preferences","Back","current text button","WIRED_BUT_WRONG_SEMANTICS","navigate to previous registry route","no","none","navigation only","P0","replace with parent/back-stack/cancel behavior"
"ONB_016","Dietary Preferences","Continue","primary","PLANNED_REQUIRED","validate/save current step then open next onboarding step","no","none","save onboarding draft","P0","implement via typed UiAction/ViewModel; add disabled/loading/success/error states"
"ONB_016","Dietary Preferences","Back","secondary","PLANNED_REQUIRED","open prior onboarding step without losing draft","no","none","none","P0","implement via typed UiAction/ViewModel; add disabled/loading/success/error states"
"ONB_017","Allergies and Exclusions","Continue","current primary button","WIRED_BUT_WRONG_SEMANTICS","navigate to next registry route","no","none","navigation only","P0","replace with semantic primary action"
"ONB_017","Allergies and Exclusions","Back","current text button","WIRED_BUT_WRONG_SEMANTICS","navigate to previous registry route","no","none","navigation only","P0","replace with parent/back-stack/cancel behavior"
"ONB_017","Allergies and Exclusions","Continue","primary","PLANNED_REQUIRED","validate/save current step then open next onboarding step","no","none","save onboarding draft","P0","implement via typed UiAction/ViewModel; add disabled/loading/success/error states"
"ONB_017","Allergies and Exclusions","Back","secondary","PLANNED_REQUIRED","open prior onboarding step without losing draft","no","none","none","P0","implement via typed UiAction/ViewModel; add disabled/loading/success/error states"
"ONB_018","Target Review and Finish","Continue","current primary button","WIRED_BUT_WRONG_SEMANTICS","navigate to next registry route","no","none","navigation only","P0","replace with semantic primary action"
"ONB_018","Target Review and Finish","Back","current text button","WIRED_BUT_WRONG_SEMANTICS","navigate to previous registry route","no","none","navigation only","P0","replace with parent/back-stack/cancel behavior"
"ONB_018","Target Review and Finish","Continue","primary","PLANNED_REQUIRED","validate/save current step then open next onboarding step","no","none","save onboarding draft","P0","implement via typed UiAction/ViewModel; add disabled/loading/success/error states"
"ONB_018","Target Review and Finish","Back","secondary","PLANNED_REQUIRED","open prior onboarding step without losing draft","no","none","none","P0","implement via typed UiAction/ViewModel; add disabled/loading/success/error states"
"ONB_018","Target Review and Finish","Edit","secondary","PLANNED_REQUIRED","return to relevant inputs","no","none","none","P0","implement via typed UiAction/ViewModel; add disabled/loading/success/error states"
"ONB_018","Target Review and Finish","Confirm targets","primary","PLANNED_REQUIRED","save future target revision then finish","no","none","write target revision","P0","implement via typed UiAction/ViewModel; add disabled/loading/success/error states"
"TOD_001","Today Dashboard","Continue","current primary button","WIRED_BUT_WRONG_SEMANTICS","navigate to next registry route","no","none","navigation only","P0","replace with semantic primary action"
"TOD_001","Today Dashboard","Back","current text button","WIRED_BUT_WRONG_SEMANTICS","navigate to previous registry route","no","none","navigation only","P0","replace with parent/back-stack/cancel behavior"
"TOD_001","Today Dashboard","Log Food","primary","PLANNED_REQUIRED","open Camera/Add Food","no","none","none","P0","implement via typed UiAction/ViewModel; add disabled/loading/success/error states"
"TOD_001","Today Dashboard","More Nutrition","text","PLANNED_REQUIRED","expand/open Nutrition Expanded","no","none","none","P0","implement via typed UiAction/ViewModel; add disabled/loading/success/error states"
"TOD_001","Today Dashboard","Next Action","card","PLANNED_REQUIRED","open prioritized action","no","none","none","P0","implement via typed UiAction/ViewModel; add disabled/loading/success/error states"
"TOD_001","Today Dashboard","Calendar","icon","PLANNED_REQUIRED","open global Calendar","no","none","none","P0","implement via typed UiAction/ViewModel; add disabled/loading/success/error states"
"TOD_001","Today Dashboard","Profile","icon","PLANNED_REQUIRED","open Profile","no","none","none","P0","implement via typed UiAction/ViewModel; add disabled/loading/success/error states"
"TOD_001","Today Dashboard","Workout","card","PLANNED_REQUIRED","open Today Workout/Train","no","none","none","P0","implement via typed UiAction/ViewModel; add disabled/loading/success/error states"
"TOD_001","Today Dashboard","Meal","row","PLANNED_REQUIRED","open meal detail","no","none","none","P0","implement via typed UiAction/ViewModel; add disabled/loading/success/error states"
"TOD_001","Today Dashboard","Device","row","PLANNED_REQUIRED","open device status","no","none","none","P0","implement via typed UiAction/ViewModel; add disabled/loading/success/error states"
"TOD_002","Nutrition Expanded","Continue","current primary button","WIRED_BUT_WRONG_SEMANTICS","navigate to next registry route","no","none","navigation only","P0","replace with semantic primary action"
"TOD_002","Nutrition Expanded","Back","current text button","WIRED_BUT_WRONG_SEMANTICS","navigate to previous registry route","no","none","navigation only","P0","replace with parent/back-stack/cancel behavior"
"TOD_002","Nutrition Expanded","Open detail/action","primary","PLANNED_REQUIRED","open relevant Fuel/Train/Device destination","no","none","none","P0","implement via typed UiAction/ViewModel; add disabled/loading/success/error states"
"TOD_002","Nutrition Expanded","Back to Today","secondary","PLANNED_REQUIRED","return Today","no","none","none","P0","implement via typed UiAction/ViewModel; add disabled/loading/success/error states"
"TOD_003","Next Action Detail","Continue","current primary button","WIRED_BUT_WRONG_SEMANTICS","navigate to next registry route","no","none","navigation only","P0","replace with semantic primary action"
"TOD_003","Next Action Detail","Back","current text button","WIRED_BUT_WRONG_SEMANTICS","navigate to previous registry route","no","none","navigation only","P0","replace with parent/back-stack/cancel behavior"
"TOD_003","Next Action Detail","Open detail/action","primary","PLANNED_REQUIRED","open relevant Fuel/Train/Device destination","no","none","none","P0","implement via typed UiAction/ViewModel; add disabled/loading/success/error states"
"TOD_003","Next Action Detail","Back to Today","secondary","PLANNED_REQUIRED","return Today","no","none","none","P0","implement via typed UiAction/ViewModel; add disabled/loading/success/error states"
"TOD_004","Device Status","Continue","current primary button","WIRED_BUT_WRONG_SEMANTICS","navigate to next registry route","no","none","navigation only","P0","replace with semantic primary action"
"TOD_004","Device Status","Back","current text button","WIRED_BUT_WRONG_SEMANTICS","navigate to previous registry route","no","none","navigation only","P0","replace with parent/back-stack/cancel behavior"
"TOD_004","Device Status","Open detail/action","primary","PLANNED_REQUIRED","open relevant Fuel/Train/Device destination","no","none","none","P0","implement via typed UiAction/ViewModel; add disabled/loading/success/error states"
"TOD_004","Device Status","Back to Today","secondary","PLANNED_REQUIRED","return Today","no","none","none","P0","implement via typed UiAction/ViewModel; add disabled/loading/success/error states"
"TOD_005","Today Workout Preview","Continue","current primary button","WIRED_BUT_WRONG_SEMANTICS","navigate to next registry route","no","none","navigation only","P0","replace with semantic primary action"
"TOD_005","Today Workout Preview","Back","current text button","WIRED_BUT_WRONG_SEMANTICS","navigate to previous registry route","no","none","navigation only","P0","replace with parent/back-stack/cancel behavior"
"TOD_005","Today Workout Preview","Open detail/action","primary","PLANNED_REQUIRED","open relevant Fuel/Train/Device destination","no","none","none","P0","implement via typed UiAction/ViewModel; add disabled/loading/success/error states"
"TOD_005","Today Workout Preview","Back to Today","secondary","PLANNED_REQUIRED","return Today","no","none","none","P0","implement via typed UiAction/ViewModel; add disabled/loading/success/error states"
"TOD_006","Today Meal Plan","Continue","current primary button","WIRED_BUT_WRONG_SEMANTICS","navigate to next registry route","no","none","navigation only","P0","replace with semantic primary action"
"TOD_006","Today Meal Plan","Back","current text button","WIRED_BUT_WRONG_SEMANTICS","navigate to previous registry route","no","none","navigation only","P0","replace with parent/back-stack/cancel behavior"
"TOD_006","Today Meal Plan","Open detail/action","primary","PLANNED_REQUIRED","open relevant Fuel/Train/Device destination","no","none","none","P0","implement via typed UiAction/ViewModel; add disabled/loading/success/error states"
"TOD_006","Today Meal Plan","Back to Today","secondary","PLANNED_REQUIRED","return Today","no","none","none","P0","implement via typed UiAction/ViewModel; add disabled/loading/success/error states"
"TOD_007","Confirmed Meals","Continue","current primary button","WIRED_BUT_WRONG_SEMANTICS","navigate to next registry route","no","none","navigation only","P0","replace with semantic primary action"
"TOD_007","Confirmed Meals","Back","current text button","WIRED_BUT_WRONG_SEMANTICS","navigate to previous registry route","no","none","navigation only","P0","replace with parent/back-stack/cancel behavior"
"TOD_007","Confirmed Meals","Open detail/action","primary","PLANNED_REQUIRED","open relevant Fuel/Train/Device destination","no","none","none","P0","implement via typed UiAction/ViewModel; add disabled/loading/success/error states"
"TOD_007","Confirmed Meals","Back to Today","secondary","PLANNED_REQUIRED","return Today","no","none","none","P0","implement via typed UiAction/ViewModel; add disabled/loading/success/error states"
"TOD_008","Today Loading","Continue","current primary button","WIRED_BUT_WRONG_SEMANTICS","navigate to next registry route","no","none","navigation only","P0","replace with semantic primary action"
"TOD_008","Today Loading","Back","current text button","WIRED_BUT_WRONG_SEMANTICS","navigate to previous registry route","no","none","navigation only","P0","replace with parent/back-stack/cancel behavior"
"TOD_008","Today Loading","Open detail/action","primary","PLANNED_REQUIRED","open relevant Fuel/Train/Device destination","no","none","none","P0","implement via typed UiAction/ViewModel; add disabled/loading/success/error states"
"TOD_008","Today Loading","Back to Today","secondary","PLANNED_REQUIRED","return Today","no","none","none","P0","implement via typed UiAction/ViewModel; add disabled/loading/success/error states"
"TOD_008","Today Loading","Retry/Refresh","button","PLANNED_REQUIRED","refresh Today aggregate","no","none","none","P0","implement via typed UiAction/ViewModel; add disabled/loading/success/error states"
"TOD_009","Today Empty","Continue","current primary button","WIRED_BUT_WRONG_SEMANTICS","navigate to next registry route","no","none","navigation only","P0","replace with semantic primary action"
"TOD_009","Today Empty","Back","current text button","WIRED_BUT_WRONG_SEMANTICS","navigate to previous registry route","no","none","navigation only","P0","replace with parent/back-stack/cancel behavior"
"TOD_009","Today Empty","Open detail/action","primary","PLANNED_REQUIRED","open relevant Fuel/Train/Device destination","no","none","none","P0","implement via typed UiAction/ViewModel; add disabled/loading/success/error states"
"TOD_009","Today Empty","Back to Today","secondary","PLANNED_REQUIRED","return Today","no","none","none","P0","implement via typed UiAction/ViewModel; add disabled/loading/success/error states"
"TOD_010","Today Unknown","Continue","current primary button","WIRED_BUT_WRONG_SEMANTICS","navigate to next registry route","no","none","navigation only","P0","replace with semantic primary action"
"TOD_010","Today Unknown","Back","current text button","WIRED_BUT_WRONG_SEMANTICS","navigate to previous registry route","no","none","navigation only","P0","replace with parent/back-stack/cancel behavior"
