ID,DOMAIN,TYPE,RUNTIME_REPRESENTATION,ENTRY_PATH,REACHABLE,RENDERED,INTERACTION_CHECKED,RESULT,DEFECT,NOTES
"AUTH_007","AUTH","ROUTE","COMPOSE_SCREEN","app/src/main/java/com/movefuel/mufil2/ui/screens/auth/AUTH_007_VerificationExpired.kt","NO","STATIC","STATIC","STATIC_ONLY","NOT_RUNTIME_TESTED","Registry/source verified; runtime route not exercised in this QA pass."
"AUTH_008","AUTH","ROUTE","COMPOSE_SCREEN","app/src/main/java/com/movefuel/mufil2/ui/screens/auth/AUTH_008_ForgotPassword.kt","NO","STATIC","STATIC","STATIC_ONLY","NOT_RUNTIME_TESTED","Registry/source verified; runtime route not exercised in this QA pass."
"AUTH_009","AUTH","ROUTE","COMPOSE_SCREEN","app/src/main/java/com/movefuel/mufil2/ui/screens/auth/AUTH_009_ResetPassword.kt","NO","STATIC","STATIC","STATIC_ONLY","NOT_RUNTIME_TESTED","Registry/source verified; runtime route not exercised in this QA pass."
"AUTH_010","AUTH","ROUTE","COMPOSE_SCREEN","app/src/main/java/com/movefuel/mufil2/ui/screens/auth/AUTH_010_PasswordResetSuccess.kt","NO","STATIC","STATIC","STATIC_ONLY","NOT_RUNTIME_TESTED","Registry/source verified; runtime route not exercised in this QA pass."
"AUTH_011","AUTH","ROUTE","COMPOSE_SCREEN","app/src/main/java/com/movefuel/mufil2/ui/screens/auth/AUTH_011_OfflineAccountState.kt","NO","STATIC","STATIC","STATIC_ONLY","NOT_RUNTIME_TESTED","Registry/source verified; runtime route not exercised in this QA pass."
"AUTH_012","AUTH","ROUTE","COMPOSE_SCREEN","app/src/main/java/com/movefuel/mufil2/ui/screens/auth/AUTH_012_SessionExpired.kt","NO","STATIC","STATIC","STATIC_ONLY","NOT_RUNTIME_TESTED","Registry/source verified; runtime route not exercised in this QA pass."
"ONB_001","ONB","ROUTE","COMPOSE_SCREEN","app/src/main/java/com/movefuel/mufil2/ui/screens/onb/ONB_001_Welcome.kt","NO","STATIC","STATIC","STATIC_ONLY","NOT_RUNTIME_TESTED","Registry/source verified; runtime route not exercised in this QA pass."
"ONB_002","ONB","ROUTE","COMPOSE_SCREEN","app/src/main/java/com/movefuel/mufil2/ui/screens/onb/ONB_002_SetupChoice.kt","NO","STATIC","STATIC","STATIC_ONLY","NOT_RUNTIME_TESTED","Registry/source verified; runtime route not exercised in this QA pass."
"ONB_003","ONB","ROUTE","COMPOSE_SCREEN","app/src/main/java/com/movefuel/mufil2/ui/screens/onb/ONB_003_Name.kt","NO","STATIC","STATIC","STATIC_ONLY","NOT_RUNTIME_TESTED","Registry/source verified; runtime route not exercised in this QA pass."
"ONB_004","ONB","ROUTE","COMPOSE_SCREEN","app/src/main/java/com/movefuel/mufil2/ui/screens/onb/ONB_004_DateOfBirth.kt","NO","STATIC","STATIC","STATIC_ONLY","NOT_RUNTIME_TESTED","Registry/source verified; runtime route not exercised in this QA pass."
"ONB_005","ONB","ROUTE","COMPOSE_SCREEN","app/src/main/java/com/movefuel/mufil2/ui/screens/onb/ONB_005_CountryLanguageTimezone.kt","NO","STATIC","STATIC","STATIC_ONLY","NOT_RUNTIME_TESTED","Registry/source verified; runtime route not exercised in this QA pass."
"ONB_006","ONB","ROUTE","COMPOSE_SCREEN","app/src/main/java/com/movefuel/mufil2/ui/screens/onb/ONB_006_Units.kt","NO","STATIC","STATIC","STATIC_ONLY","NOT_RUNTIME_TESTED","Registry/source verified; runtime route not exercised in this QA pass."
"ONB_007","ONB","ROUTE","COMPOSE_SCREEN","app/src/main/java/com/movefuel/mufil2/ui/screens/onb/ONB_007_Height.kt","NO","STATIC","STATIC","STATIC_ONLY","NOT_RUNTIME_TESTED","Registry/source verified; runtime route not exercised in this QA pass."
"ONB_008","ONB","ROUTE","COMPOSE_SCREEN","app/src/main/java/com/movefuel/mufil2/ui/screens/onb/ONB_008_CurrentWeight.kt","NO","STATIC","STATIC","STATIC_ONLY","NOT_RUNTIME_TESTED","Registry/source verified; runtime route not exercised in this QA pass."
"ONB_009","ONB","ROUTE","COMPOSE_SCREEN","app/src/main/java/com/movefuel/mufil2/ui/screens/onb/ONB_009_EnergyEstimationSetting.kt","NO","STATIC","STATIC","STATIC_ONLY","NOT_RUNTIME_TESTED","Registry/source verified; runtime route not exercised in this QA pass."
"ONB_010","ONB","ROUTE","COMPOSE_SCREEN","app/src/main/java/com/movefuel/mufil2/ui/screens/onb/ONB_010_DailyActivity.kt","NO","STATIC","STATIC","STATIC_ONLY","NOT_RUNTIME_TESTED","Registry/source verified; runtime route not exercised in this QA pass."
"ONB_011","ONB","ROUTE","COMPOSE_SCREEN","app/src/main/java/com/movefuel/mufil2/ui/screens/onb/ONB_011_OptionalBodyComposition.kt","NO","STATIC","STATIC","STATIC_ONLY","NOT_RUNTIME_TESTED","Registry/source verified; runtime route not exercised in this QA pass."
"ONB_012","ONB","ROUTE","COMPOSE_SCREEN","app/src/main/java/com/movefuel/mufil2/ui/screens/onb/ONB_012_PrimaryGoal.kt","NO","STATIC","STATIC","STATIC_ONLY","NOT_RUNTIME_TESTED","Registry/source verified; runtime route not exercised in this QA pass."
"ONB_013","ONB","ROUTE","COMPOSE_SCREEN","app/src/main/java/com/movefuel/mufil2/ui/screens/onb/ONB_013_TargetContext.kt","NO","STATIC","STATIC","STATIC_ONLY","NOT_RUNTIME_TESTED","Registry/source verified; runtime route not exercised in this QA pass."
"ONB_014","ONB","ROUTE","COMPOSE_SCREEN","app/src/main/java/com/movefuel/mufil2/ui/screens/onb/ONB_014_TrainingFrequency.kt","NO","STATIC","STATIC","STATIC_ONLY","NOT_RUNTIME_TESTED","Registry/source verified; runtime route not exercised in this QA pass."
"ONB_015","ONB","ROUTE","COMPOSE_SCREEN","app/src/main/java/com/movefuel/mufil2/ui/screens/onb/ONB_015_SessionDuration.kt","NO","STATIC","STATIC","STATIC_ONLY","NOT_RUNTIME_TESTED","Registry/source verified; runtime route not exercised in this QA pass."
"ONB_016","ONB","ROUTE","COMPOSE_SCREEN","app/src/main/java/com/movefuel/mufil2/ui/screens/onb/ONB_016_DietaryPreferences.kt","NO","STATIC","STATIC","STATIC_ONLY","NOT_RUNTIME_TESTED","Registry/source verified; runtime route not exercised in this QA pass."
"ONB_017","ONB","ROUTE","COMPOSE_SCREEN","app/src/main/java/com/movefuel/mufil2/ui/screens/onb/ONB_017_AllergiesAndExclusions.kt","NO","STATIC","STATIC","STATIC_ONLY","NOT_RUNTIME_TESTED","Registry/source verified; runtime route not exercised in this QA pass."
"ONB_018","ONB","ROUTE","COMPOSE_SCREEN","app/src/main/java/com/movefuel/mufil2/ui/screens/onb/ONB_018_TargetReviewAndFinish.kt","NO","STATIC","STATIC","STATIC_ONLY","NOT_RUNTIME_TESTED","Registry/source verified; runtime route not exercised in this QA pass."
"TOD_001","TOD","ROUTE","COMPOSE_SCREEN","app/src/main/java/com/movefuel/mufil2/ui/screens/tod/TOD_001_TodayDashboard.kt","NO","STATIC","STATIC","STATIC_ONLY","NOT_RUNTIME_TESTED","Registry/source verified; runtime route not exercised in this QA pass."
"TOD_002","TOD","ROUTE","COMPOSE_SCREEN","app/src/main/java/com/movefuel/mufil2/ui/screens/tod/TOD_002_NutritionExpanded.kt","NO","STATIC","STATIC","STATIC_ONLY","NOT_RUNTIME_TESTED","Registry/source verified; runtime route not exercised in this QA pass."
"TOD_003","TOD","ROUTE","COMPOSE_SCREEN","app/src/main/java/com/movefuel/mufil2/ui/screens/tod/TOD_003_NextActionDetail.kt","NO","STATIC","STATIC","STATIC_ONLY","NOT_RUNTIME_TESTED","Registry/source verified; runtime route not exercised in this QA pass."
"TOD_004","TOD","ROUTE","COMPOSE_SCREEN","app/src/main/java/com/movefuel/mufil2/ui/screens/tod/TOD_004_DeviceStatus.kt","NO","STATIC","STATIC","STATIC_ONLY","NOT_RUNTIME_TESTED","Registry/source verified; runtime route not exercised in this QA pass."
"TOD_005","TOD","ROUTE","COMPOSE_SCREEN","app/src/main/java/com/movefuel/mufil2/ui/screens/tod/TOD_005_TodayWorkoutPreview.kt","YES","YES","YES","PASS","NONE","Runtime route rendered and representative interaction checked on Android emulator."
"TOD_006","TOD","ROUTE","COMPOSE_SCREEN","app/src/main/java/com/movefuel/mufil2/ui/screens/tod/TOD_006_TodayMealPlan.kt","NO","STATIC","STATIC","STATIC_ONLY","NOT_RUNTIME_TESTED","Registry/source verified; runtime route not exercised in this QA pass."
"TOD_007","TOD","ROUTE","COMPOSE_SCREEN","app/src/main/java/com/movefuel/mufil2/ui/screens/tod/TOD_007_ConfirmedMeals.kt","NO","STATIC","STATIC","STATIC_ONLY","NOT_RUNTIME_TESTED","Registry/source verified; runtime route not exercised in this QA pass."
"TOD_008","TOD","ROUTE","COMPOSE_SCREEN","app/src/main/java/com/movefuel/mufil2/ui/screens/tod/TOD_008_TodayLoading.kt","NO","STATIC","STATIC","STATIC_ONLY","NOT_RUNTIME_TESTED","Registry/source verified; runtime route not exercised in this QA pass."
"TOD_009","TOD","ROUTE","COMPOSE_SCREEN","app/src/main/java/com/movefuel/mufil2/ui/screens/tod/TOD_009_TodayEmpty.kt","NO","STATIC","STATIC","STATIC_ONLY","NOT_RUNTIME_TESTED","Registry/source verified; runtime route not exercised in this QA pass."
"TOD_010","TOD","ROUTE","COMPOSE_SCREEN","app/src/main/java/com/movefuel/mufil2/ui/screens/tod/TOD_010_TodayUnknown.kt","NO","STATIC","STATIC","STATIC_ONLY","NOT_RUNTIME_TESTED","Registry/source verified; runtime route not exercised in this QA pass."
"TOD_011","TOD","ROUTE","COMPOSE_SCREEN","app/src/main/java/com/movefuel/mufil2/ui/screens/tod/TOD_011_TodayOffline.kt","NO","STATIC","STATIC","STATIC_ONLY","NOT_RUNTIME_TESTED","Registry/source verified; runtime route not exercised in this QA pass."
"TOD_012","TOD","ROUTE","COMPOSE_SCREEN","app/src/main/java/com/movefuel/mufil2/ui/screens/tod/TOD_012_TodayStale.kt","NO","STATIC","STATIC","STATIC_ONLY","NOT_RUNTIME_TESTED","Registry/source verified; runtime route not exercised in this QA pass."
"CAM_001","CAM","ROUTE","COMPOSE_SCREEN","app/src/main/java/com/movefuel/mufil2/ui/screens/cam/CAM_001_FoodCamera.kt","YES","YES","YES","PASS","NONE","Runtime route rendered and representative interaction checked on Android emulator."
"CAM_002","CAM","ROUTE","COMPOSE_SCREEN","app/src/main/java/com/movefuel/mufil2/ui/screens/cam/CAM_002_CameraPermission.kt","NO","STATIC","STATIC","STATIC_ONLY","NOT_RUNTIME_TESTED","Registry/source verified; runtime route not exercised in this QA pass."
"CAM_003","CAM","ROUTE","COMPOSE_SCREEN","app/src/main/java/com/movefuel/mufil2/ui/screens/cam/CAM_003_FoodFraming.kt","NO","STATIC","STATIC","STATIC_ONLY","NOT_RUNTIME_TESTED","Registry/source verified; runtime route not exercised in this QA pass."
"CAM_004","CAM","ROUTE","COMPOSE_SCREEN","app/src/main/java/com/movefuel/mufil2/ui/screens/cam/CAM_004_GalleryPicker.kt","NO","STATIC","STATIC","STATIC_ONLY","NOT_RUNTIME_TESTED","Registry/source verified; runtime route not exercised in this QA pass."
"CAM_005","CAM","ROUTE","COMPOSE_SCREEN","app/src/main/java/com/movefuel/mufil2/ui/screens/cam/CAM_005_ImagePreview.kt","YES","YES","YES","PASS","NONE","Runtime route rendered and representative interaction checked on Android emulator."
"CAM_006","CAM","ROUTE","COMPOSE_SCREEN","app/src/main/java/com/movefuel/mufil2/ui/screens/cam/CAM_006_CheckingImage.kt","YES","YES","YES","PASS","NONE","Runtime route rendered and representative interaction checked on Android emulator."
"CAM_007","CAM","ROUTE","COMPOSE_SCREEN","app/src/main/java/com/movefuel/mufil2/ui/screens/cam/CAM_007_DetectingFoods.kt","YES","YES","YES","PASS","NONE","Runtime route rendered and representative interaction checked on Android emulator."
"CAM_008","CAM","ROUTE","COMPOSE_SCREEN","app/src/main/java/com/movefuel/mufil2/ui/screens/cam/CAM_008_MultiFoodDetection.kt","YES","YES","YES","PASS","NONE","Runtime route rendered and representative interaction checked on Android emulator."
"CAM_009","CAM","ROUTE","COMPOSE_SCREEN","app/src/main/java/com/movefuel/mufil2/ui/screens/cam/CAM_009_EstimatingPortions.kt","YES","YES","YES","PASS","NONE","Runtime route rendered and representative interaction checked on Android emulator."
"CAM_010","CAM","ROUTE","COMPOSE_SCREEN","app/src/main/java/com/movefuel/mufil2/ui/screens/cam/CAM_010_NutritionMatching.kt","YES","YES","YES","PASS","NONE","Runtime route rendered and representative interaction checked on Android emulator."
"CAM_011","CAM","ROUTE","COMPOSE_SCREEN","app/src/main/java/com/movefuel/mufil2/ui/screens/cam/CAM_011_DetectedFoodReview.kt","YES","YES","YES","PASS","NONE","Runtime route rendered and representative interaction checked on Android emulator."
"CAM_012","CAM","ROUTE","COMPOSE_SCREEN","app/src/main/java/com/movefuel/mufil2/ui/screens/cam/CAM_012_EditFoodIdentity.kt","YES","YES","YES","PASS","NONE","Runtime route rendered and representative interaction checked on Android emulator."
"CAM_013","CAM","ROUTE","COMPOSE_SCREEN","app/src/main/java/com/movefuel/mufil2/ui/screens/cam/CAM_013_EditPortion.kt","NO","STATIC","STATIC","STATIC_ONLY","NOT_RUNTIME_TESTED","Registry/source verified; runtime route not exercised in this QA pass."
"CAM_014","CAM","ROUTE","COMPOSE_SCREEN","app/src/main/java/com/movefuel/mufil2/ui/screens/cam/CAM_014_AddMissedFood.kt","NO","STATIC","STATIC","STATIC_ONLY","NOT_RUNTIME_TESTED","Registry/source verified; runtime route not exercised in this QA pass."
"CAM_015","CAM","ROUTE","COMPOSE_SCREEN","app/src/main/java/com/movefuel/mufil2/ui/screens/cam/CAM_015_LowConfidenceClarification.kt","NO","STATIC","STATIC","STATIC_ONLY","NOT_RUNTIME_TESTED","Registry/source verified; runtime route not exercised in this QA pass."
"CAM_016","CAM","ROUTE","COMPOSE_SCREEN","app/src/main/java/com/movefuel/mufil2/ui/screens/cam/CAM_016_NutritionUnavailable.kt","NO","STATIC","STATIC","STATIC_ONLY","NOT_RUNTIME_TESTED","Registry/source verified; runtime route not exercised in this QA pass."
"CAM_017","CAM","ROUTE","COMPOSE_SCREEN","app/src/main/java/com/movefuel/mufil2/ui/screens/cam/CAM_017_FinalMealReview.kt","YES","YES","YES","PASS","NONE","Runtime route rendered and representative interaction checked on Android emulator."
"CAM_018","CAM","ROUTE","COMPOSE_SCREEN","app/src/main/java/com/movefuel/mufil2/ui/screens/cam/CAM_018_AnalysisFailure.kt","NO","STATIC","STATIC","STATIC_ONLY","NOT_RUNTIME_TESTED","Registry/source verified; runtime route not exercised in this QA pass."
"BAR_001","BAR","ROUTE","COMPOSE_SCREEN","app/src/main/java/com/movefuel/mufil2/ui/screens/bar/BAR_001_BarcodeScanner.kt","YES","YES","YES","PASS","NONE","Runtime route rendered and representative interaction checked on Android emulator."
"BAR_002","BAR","ROUTE","COMPOSE_SCREEN","app/src/main/java/com/movefuel/mufil2/ui/screens/bar/BAR_002_Scanning.kt","YES","YES","YES","PASS","NONE","Runtime route rendered and representative interaction checked on Android emulator."
"BAR_003","BAR","ROUTE","COMPOSE_SCREEN","app/src/main/java/com/movefuel/mufil2/ui/screens/bar/BAR_003_BarcodeDetected.kt","YES","YES","YES","PASS","NONE","Runtime route rendered and representative interaction checked on Android emulator."
"BAR_004","BAR","ROUTE","COMPOSE_SCREEN","app/src/main/java/com/movefuel/mufil2/ui/screens/bar/BAR_004_ProductLookup.kt","YES","YES","YES","PASS","NONE","Runtime route rendered and representative interaction checked on Android emulator."
"BAR_005","BAR","ROUTE","COMPOSE_SCREEN","app/src/main/java/com/movefuel/mufil2/ui/screens/bar/BAR_005_ProductFound.kt","YES","YES","YES","PASS","NONE","Runtime route rendered and representative interaction checked on Android emulator."
"BAR_006","BAR","ROUTE","COMPOSE_SCREEN","app/src/main/java/com/movefuel/mufil2/ui/screens/bar/BAR_006_ServingSelector.kt","YES","YES","YES","PASS","NONE","Runtime route rendered and representative interaction checked on Android emulator."
"BAR_007","BAR","ROUTE","COMPOSE_SCREEN","app/src/main/java/com/movefuel/mufil2/ui/screens/bar/BAR_007_ExpandedNutrition.kt","NO","STATIC","STATIC","STATIC_ONLY","NOT_RUNTIME_TESTED","Registry/source verified; runtime route not exercised in this QA pass."
"BAR_008","BAR","ROUTE","COMPOSE_SCREEN","app/src/main/java/com/movefuel/mufil2/ui/screens/bar/BAR_008_IngredientsAndAllergens.kt","NO","STATIC","STATIC","STATIC_ONLY","NOT_RUNTIME_TESTED","Registry/source verified; runtime route not exercised in this QA pass."
"BAR_009","BAR","ROUTE","COMPOSE_SCREEN","app/src/main/java/com/movefuel/mufil2/ui/screens/bar/BAR_009_AddToMeal.kt","YES","YES","YES","PASS","NONE","Runtime route rendered and representative interaction checked on Android emulator."
"BAR_010","BAR","ROUTE","COMPOSE_SCREEN","app/src/main/java/com/movefuel/mufil2/ui/screens/bar/BAR_010_MealSelector.kt","YES","YES","YES","PASS","NONE","Runtime route rendered and representative interaction checked on Android emulator."
"BAR_011","BAR","ROUTE","COMPOSE_SCREEN","app/src/main/java/com/movefuel/mufil2/ui/screens/bar/BAR_011_ConfirmProduct.kt","YES","YES","YES","PASS","NONE","Runtime route rendered and representative interaction checked on Android emulator."
"BAR_012","BAR","ROUTE","COMPOSE_SCREEN","app/src/main/java/com/movefuel/mufil2/ui/screens/bar/BAR_012_AddToShop.kt","NO","STATIC","STATIC","STATIC_ONLY","NOT_RUNTIME_TESTED","Registry/source verified; runtime route not exercised in this QA pass."
"BAR_013","BAR","ROUTE","COMPOSE_SCREEN","app/src/main/java/com/movefuel/mufil2/ui/screens/bar/BAR_013_ProductNotFound.kt","NO","STATIC","STATIC","STATIC_ONLY","NOT_RUNTIME_TESTED","Registry/source verified; runtime route not exercised in this QA pass."
"BAR_014","BAR","ROUTE","COMPOSE_SCREEN","app/src/main/java/com/movefuel/mufil2/ui/screens/bar/BAR_014_NutritionLabelCamera.kt","NO","STATIC","STATIC","STATIC_ONLY","NOT_RUNTIME_TESTED","Registry/source verified; runtime route not exercised in this QA pass."
"BAR_015","BAR","ROUTE","COMPOSE_SCREEN","app/src/main/java/com/movefuel/mufil2/ui/screens/bar/BAR_015_LabelReview.kt","NO","STATIC","STATIC","STATIC_ONLY","NOT_RUNTIME_TESTED","Registry/source verified; runtime route not exercised in this QA pass."
"BAR_016","BAR","ROUTE","COMPOSE_SCREEN","app/src/main/java/com/movefuel/mufil2/ui/screens/bar/BAR_016_CustomProduct.kt","NO","STATIC","STATIC","STATIC_ONLY","NOT_RUNTIME_TESTED","Registry/source verified; runtime route not exercised in this QA pass."
"FNO_001","FNO","ROUTE","COMPOSE_SCREEN","app/src/main/java/com/movefuel/mufil2/ui/screens/fno/FNO_001_FuelNowDashboard.kt","YES","YES","YES","PASS","NONE","Runtime route rendered and representative interaction checked on Android emulator."
"FNO_002","FNO","ROUTE","COMPOSE_SCREEN","app/src/main/java/com/movefuel/mufil2/ui/screens/fno/FNO_002_SelectedDate.kt","NO","STATIC","STATIC","STATIC_ONLY","NOT_RUNTIME_TESTED","Registry/source verified; runtime route not exercised in this QA pass."
"FNO_003","FNO","ROUTE","COMPOSE_SCREEN","app/src/main/java/com/movefuel/mufil2/ui/screens/fno/FNO_003_NutritionSummary.kt","NO","STATIC","STATIC","STATIC_ONLY","NOT_RUNTIME_TESTED","Registry/source verified; runtime route not exercised in this QA pass."
"FNO_004","FNO","ROUTE","COMPOSE_SCREEN","app/src/main/java/com/movefuel/mufil2/ui/screens/fno/FNO_004_ExpandedNutrition.kt","NO","STATIC","STATIC","STATIC_ONLY","NOT_RUNTIME_TESTED","Registry/source verified; runtime route not exercised in this QA pass."
"FNO_005","FNO","ROUTE","COMPOSE_SCREEN","app/src/main/java/com/movefuel/mufil2/ui/screens/fno/FNO_005_MealGroups.kt","NO","STATIC","STATIC","STATIC_ONLY","NOT_RUNTIME_TESTED","Registry/source verified; runtime route not exercised in this QA pass."
"FNO_006","FNO","ROUTE","COMPOSE_SCREEN","app/src/main/java/com/movefuel/mufil2/ui/screens/fno/FNO_006_MealDetail.kt","NO","STATIC","STATIC","STATIC_ONLY","NOT_RUNTIME_TESTED","Registry/source verified; runtime route not exercised in this QA pass."
"FNO_007","FNO","ROUTE","COMPOSE_SCREEN","app/src/main/java/com/movefuel/mufil2/ui/screens/fno/FNO_007_EditMeal.kt","NO","STATIC","STATIC","STATIC_ONLY","NOT_RUNTIME_TESTED","Registry/source verified; runtime route not exercised in this QA pass."
"FNO_008","FNO","ROUTE","COMPOSE_SCREEN","app/src/main/java/com/movefuel/mufil2/ui/screens/fno/FNO_008_DeleteMealConfirmation.kt","NO","STATIC","STATIC","STATIC_ONLY","NOT_RUNTIME_TESTED","Registry/source verified; runtime route not exercised in this QA pass."
"FNO_009","FNO","ROUTE","COMPOSE_SCREEN","app/src/main/java/com/movefuel/mufil2/ui/screens/fno/FNO_009_AddFoodMenu.kt","YES","YES","YES","PASS","NONE","Runtime route rendered and representative interaction checked on Android emulator."
"FNO_010","FNO","ROUTE","COMPOSE_SCREEN","app/src/main/java/com/movefuel/mufil2/ui/screens/fno/FNO_010_FoodSearch.kt","YES","YES","YES","PASS","NONE","Runtime route rendered and representative interaction checked on Android emulator."
"FNO_011","FNO","ROUTE","COMPOSE_SCREEN","app/src/main/java/com/movefuel/mufil2/ui/screens/fno/FNO_011_FoodDetail.kt","YES","YES","YES","PASS","NONE","Runtime route rendered and representative interaction checked on Android emulator."
"FNO_012","FNO","ROUTE","COMPOSE_SCREEN","app/src/main/java/com/movefuel/mufil2/ui/screens/fno/FNO_012_ServingSelector.kt","YES","YES","YES","PASS","NONE","Retested after scroll-shell layout fix; Confirm food is above the reserved bottom navigation area."
"FNO_013","FNO","ROUTE","COMPOSE_SCREEN","app/src/main/java/com/movefuel/mufil2/ui/screens/fno/FNO_013_RecentFoods.kt","NO","STATIC","STATIC","STATIC_ONLY","NOT_RUNTIME_TESTED","Registry/source verified; runtime route not exercised in this QA pass."
"FNO_014","FNO","ROUTE","COMPOSE_SCREEN","app/src/main/java/com/movefuel/mufil2/ui/screens/fno/FNO_014_FrequentFoods.kt","NO","STATIC","STATIC","STATIC_ONLY","NOT_RUNTIME_TESTED","Registry/source verified; runtime route not exercised in this QA pass."
"FNO_015","FNO","ROUTE","COMPOSE_SCREEN","app/src/main/java/com/movefuel/mufil2/ui/screens/fno/FNO_015_Favorites.kt","NO","STATIC","STATIC","STATIC_ONLY","NOT_RUNTIME_TESTED","Registry/source verified; runtime route not exercised in this QA pass."
"FNO_016","FNO","ROUTE","COMPOSE_SCREEN","app/src/main/java/com/movefuel/mufil2/ui/screens/fno/FNO_016_SavedMeals.kt","NO","STATIC","STATIC","STATIC_ONLY","NOT_RUNTIME_TESTED","Registry/source verified; runtime route not exercised in this QA pass."
"FNO_017","FNO","ROUTE","COMPOSE_SCREEN","app/src/main/java/com/movefuel/mufil2/ui/screens/fno/FNO_017_FuelEmpty.kt","NO","STATIC","STATIC","STATIC_ONLY","NOT_RUNTIME_TESTED","Registry/source verified; runtime route not exercised in this QA pass."
"FNO_018","FNO","ROUTE","COMPOSE_SCREEN","app/src/main/java/com/movefuel/mufil2/ui/screens/fno/FNO_018_FuelOffline.kt","NO","STATIC","STATIC","STATIC_ONLY","NOT_RUNTIME_TESTED","Registry/source verified; runtime route not exercised in this QA pass."
"FPL_001","FPL","ROUTE","COMPOSE_SCREEN","app/src/main/java/com/movefuel/mufil2/ui/screens/fpl/FPL_001_FuelPlanDashboard.kt","YES","YES","YES","PASS","NONE","Runtime route rendered and representative interaction checked on Android emulator."
"FPL_002","FPL","ROUTE","COMPOSE_SCREEN","app/src/main/java/com/movefuel/mufil2/ui/screens/fpl/FPL_002_PlanDayView.kt","NO","STATIC","STATIC","STATIC_ONLY","NOT_RUNTIME_TESTED","Registry/source verified; runtime route not exercised in this QA pass."
"FPL_003","FPL","ROUTE","COMPOSE_SCREEN","app/src/main/java/com/movefuel/mufil2/ui/screens/fpl/FPL_003_PlanWeekView.kt","NO","STATIC","STATIC","STATIC_ONLY","NOT_RUNTIME_TESTED","Registry/source verified; runtime route not exercised in this QA pass."
"FPL_004","FPL","ROUTE","COMPOSE_SCREEN","app/src/main/java/com/movefuel/mufil2/ui/screens/fpl/FPL_004_PlanMonthView.kt","NO","STATIC","STATIC","STATIC_ONLY","NOT_RUNTIME_TESTED","Registry/source verified; runtime route not exercised in this QA pass."
"FPL_005","FPL","ROUTE","COMPOSE_SCREEN","app/src/main/java/com/movefuel/mufil2/ui/screens/fpl/FPL_005_PlanPreferences.kt","NO","STATIC","STATIC","STATIC_ONLY","NOT_RUNTIME_TESTED","Registry/source verified; runtime route not exercised in this QA pass."
